Year,Title,Role,Director,Other cast members
1940,The Return of Frank James,Eleanor Stone,Fritz Lang,Henry Fonda
1941,Hudson 's Bay,Barbara Hall,Irving Pichel,Paul Muni Vincent Price
1941,Tobacco Road,Ellie Mae Lester,John Ford,Charles Grapewin Dana Andrews
1941,Belle Starr,Belle Starr,Irving Cummings,Randolph Scott Dana Andrews
1941,Sundown,Zia,Henry Hathaway,Bruce Cabot
1941,The Shanghai Gesture,Victoria Charteris aka Poppy Smith,Josef von Sternberg,Walter Huston
1942,Son of Fury : The Story of Benjamin Blake,Eve,John Cromwell,Tyrone Power
1942,Rings on Her Fingers,Susan Miller ( aka Linda Worthington ),Rouben Mamoulian,Henry Fonda
1942,Thunder Birds,Kay Saunders,William A. Wellman,Preston Foster John Sutton
1942,China Girl,Miss Haoli Young,Henry Hathaway,George Montgomery
1943,Heaven Can Wait,Martha Strabel Van Cleve,Ernst Lubitsch,Don Ameche
1944,Laura,Laura Hunt,Otto Preminger,Dana Andrews Clifton Webb Vincent Price
1945,A Bell for Adano,Tina Tomasino,Henry King,John Hodiak
1945,Leave Her to Heaven,Ellen Berent Harland,John M. Stahl,Cornel Wilde Jeanne Crain Vincent Price
1946,Dragonwyck,Miranda Wells Van Ryn,Joseph L. Mankiewicz,Walter Huston Vincent Price
1946,The Razor 's Edge,Isabel Bradley Maturin,Edmund Goulding,Tyrone Power Anne Baxter John Payne
1947,The Ghost and Mrs. Muir,Lucy Muir,Joseph L. Mankiewicz,Rex Harrison George Sanders Edna Best
1948,The Iron Curtain,Anna Gouzenko,William A. Wellman,Dana Andrews
1948,That Wonderful Urge,Sara Farley,Robert B. Sinclair,Tyrone Power
1949,Whirlpool,Ann Sutton,Otto Preminger,Richard Conte José Ferrer
