Title,Release date,Time period,Notes on setting
Rajaraja Cholan,1973,947 - 1015 AD,"Tamil , About the life history of great king Raja Raja Chola"
Veerapandiya Kattabomman,1959,1760 - 1799 AD,"Tamil , About the life history of great king Veerapandiya Kattabomman who struggled against British people from Tamil Nadu"
Veer Savarkar,2001,1897-1947 AD,about life and times of great revolutionary Swatantryaveer Vinayak Damodar Savarkar
Siddhartha,1972,c. 563-483 BC,about the life of a boy and his search for a meaningful way of life
Khamosh Pani,2003,1979-2002,"about a widowed mother and her young son set in a late 1970s village in Punjab , Pakistan which is coming under radical influence"
Gautama Buddha,2007,c. 563-483 BC,about the life of Gautama Buddha
Amrapali,1966,c. 500 BC,based on the life of Ambapali in India
Sikandar,1941,326 BC,"Indian-made film set in 326 BC , after Alexander the Great has conquered Persia and pertains to his conquest of the kingdoms of Pauravas ( in modern Pakistan and northwest India )"
Asoka,2001,273-232 BC,"fictionalized account of the reign of Ashoka ( r. ) , of the Mauryan Empire in India"
Mayura,1975,345-365,Kannada film based on the Kadamba Dynasty 's King Mayurasharma set in India
Ambikapathy,1937,1083,"Tamil , a love story set in India in 1083"
Urumi,2011,16th century AD,"Malayalam , historical fiction on Portuguese in Malabar"
Mughal-e-Azam,1960,1569-1605,"Bollywood film telling a story set during the Mughal Empire , depicting conflict between King Akbar and his son Crown Prince Salim over Anarkali"
Jodha-Akbar,2008,1556-1605,"Bollywood film set during the reign of Mughal Emperor Akbar ( r. 1556-1605 ) , depicts his marriage to a Hindu Rajput princess Jodhaa Bai . Directed by Ashutosh Gowariker , and stars Hrithik Roshan and Aishwarya Rai in the title roles"
Taj Mahal : An Eternal Love Story,2005,1627-58,"Directed by Akbar Khan . This movie entails the story of Shah Jahan ( r. 1627-58 ) and his Queen Mumtaz Mahal ( 1593-1631 ) . Mumtaz was the love of Shah Jahan 's life , and the monument this Mughal emperor built to honour his deceased love was the Taj Mahal ( constructed from 1632 to 1653 )"
Paradesi,2013,1930s,Directed by Bala . This movie is based on the lives affected by plantation
The Deceivers,1988,1825,about Thugees in India in 1825
Veer,2010,1825,"set during the 1825 Pindari movement of Rajasthan , when India was ruled by the British . Directed by Anil Sharma stars Salman Khan in lerole"
Shatranj Ke Khiladi,1977,1856,"( The Chess Players , 1977 ) entailing the East India Company 's annexation of the kingdom of Oudh ( Awadh ) from Wajid Ali Shah in 1856 on the eve of the Sepoy Mutiny"
Junoon,1978,1857,about a love story between one of the Rebels of 1857 in Rohilkhand and an Anglo-Indian woman that he has held hostage ( along with her mother and grandmother )
