Year,Winner,Position,School
2003-04,Pierre-Luc O'Brien,Left Wing,Sacred Heart
2004-05,Ben Cottreau,Center,Mercyhurst
2005-06,Bear Trapp,Right Wing,Sacred Heart
2006-07,Al Mazur,Defenceman,RIT
2007-08,Erik Peterson,Forward,Bentley
2008-09,David Kostuch,Left Wing,Canisius
2009-10,Christopher Tanev,Defenceman,RIT
2010-11,Taylor Holstrom,Forward,Mercyhurst
2011-12,Alex Grieve,Center,Bentley
2012-13,Andrew Gladiuk,Forward,Bentley
2013-14,Justin Danforth,Forward,Sacred Heart
2014-15,Tyler Pham,Center,Army
2015-16,Lester Lancaster,Defenceman,Mercyhurst
2016-17,Adam Brubacher,Defenceman,RIT
2017-18,Brennan Kapcheck,Defenceman,American International
2018-19,Ludwig Stenlund,Forward,Niagara
