Club,Location,Stadium,2012 I Lyga
FK Baltija Panevėžys,Panevėžys,Panevėžio futbolo akademijos stadionas,no league
FK Klaipėdos Granitas,Klaipėda,Klaipėdos m. centrinis stadionas,4th ( LFF 2 lyga - West )
FK Lietava Jonava,Jonava,Jonavos centrinis stadionas,1st
FK Lokomotyvas Radviliškis,Radviliškis,"Panevėžio futbolo akademijos stadionas , Panevėžys",1st ( LFF 2 lyga - West )
FK Nevėžis Kėdainiai,Kėdainiai,Kėdainių miesto stadionas,2nd
FK Palanga,Palanga,Palangos centrinis miesto stadionas,8th
FK Polonija Vilnius,Vilnius,Vingio parko stadionas,5th
FK Šilas Kazlų Rūda,Kazlų Rūda,Kazlų Rūdos stadionas,4th ( LFF 2 lyga - South )
FK Šilutė,Šilutė,Šilutės miesto stadionas,7th
FM Spyris Kaunas,Kaunas,Nacionalinės futbolo akademijos stadionas,5th ( LFF 2 lyga - South )
FK Trakai,Trakai,Trakų naujasis stadionas,4th
FK Žalgiris-3 Vilnius,Vilnius,Vilniaus LFF stadionas,3rd ( LFF 2 lyga - South )
