Club,Manager,City,Stadium,Capacity,Affiliate
Alacranes de Durango,Héctor Jair Real,"Durango City , Durango",Francisco Zarco,"18,000",-
Atlético Bahía,Juan Serna ( Interim ),"Bahía de Banderas , Nayarit",Ciudad del Deporte Bahía de Banderas,"4,000",-
Atlético Reynosa,Gastón Obledo,"Reynosa , Tamaulipas",Unidad Deportiva Solidaridad,"20,000",-
Coras de Nayarit,Manuel Naya Barba,"Tepic , Nayarit",Nicolás Álvarez Ortega,"12,271",-
Cimarrones de Sonora,Mario López,"Hermosillo , Sonora",Héroe de Nacozari,"18,747",Cimarrones de Sonora
Correcaminos UAT,Arturo Chávez,"Ciudad Victoria , Tamaulipas",Marte R. Gómez,"10,520",Correcaminos UAT
Gavilanes de Matamoros,Lorenzo López Balboa,"Matamoros , Tamaulipas",El Hogar,"22,000",-
Leones Negros UdeG,Sergio Díaz,"Zapopan , Jalisco",Instalaciones Club Deportivo U.de G. Cancha 3,"3,000",Leones Negros UdeG
Mineros de Fresnillo,Joaquín Espinoza,"Fresnillo , Zacatecas",Unidad Deportiva Minera Fresnillo,"6,000",-
Murciélagos,Valentín Arredondo,"Los Mochis , Sinaloa",Centenario,"11,134",-
Saltillo,Francisco Javier Gamboa,"Saltillo , Coahuila",Olímpico Francisco I. Madero,"7,000",-
Tecos,Daniel Alcántar,"Zapopan , Jalisco",Tres de Marzo,"18,779",-
Tepatitlán de Morelos,Paco Ramírez,"Tepatitlán , Jalisco",Gregorio Tepa Gómez,"10,000",-
Tuzos UAZ,Rubén Hernández,"Zacatecas City , Zacatecas",Carlos Vega Villalba,"20,068",-
UACH,Carlos Kanahan,"Chihuahua City , Chihuahua",Olímpico Universitario José Reyes Baeza,"22,000",-
