Medal,Name,Sport,Event
Gold,Milkha Singh,Athletics,200 m
Gold,Milkha Singh,Athletics,400 m
Gold,Mohinder Singh,Athletics,Triple jump
Gold,Parduman Singh Brar,Athletics,Shot put
Gold,Balkar Singh,Athletics,Discus throw
Silver,Hari Singh ( boxer ),Boxing,Middleweight ( 75 kg )
Silver,Stephie D'Souza,Athletics,200 m
Silver,Elizabeth Davenport,Athletics,Javelin throw
Silver,India national hockey team,Hockey,Men 's hockey
Bronze,Parduman Singh Brar,Athletics,Discus throw
Bronze,Women 's relay team,Athletics,4 x 100 m relay
Bronze,Sundar Rao,Boxing,Lightweight ( 60 kg )
Bronze,Men 's volleyball team,Volleyball,Volleyball-Indoor
