Year,Time,Athlete,Location
1966,44.82y,Wendell Mottley ( TTO ),Kingston
1967,44.74+h,Tommie Smith ( USA ),San Jose
1968,43.86A,Lee Evans ( USA ),Ciudad de México
1969,44.67y,Curtis Mills ( USA ),Knoxville
1970,45.01,Charles Asati ( KEN ),Edinburgh
1971,44.44yh,John Smith ( USA ),Eugene
1972,44.34h,Wayne Collett ( USA ),Eugene
1973,44.85y,Maurice Peoples ( USA ),Baton Rouge
1974,44.94h,Alberto Juantorena ( CUB ),Ciudad de México
1975,44.45A,Ronnie Ray ( USA ),Ciudad de México
1976,44.26,Alberto Juantorena ( CUB ),Montreal
1977,44.65,Alberto Juantorena ( CUB ),La Habana
1978,44.27A,Alberto Juantorena ( CUB ),Medellin
1979,44.92,Harald Schmid ( FRG ),Stuttgart
1980,44.60,Viktor Markin ( RUS ),Moscow
1981,44.58,Bert Cameron ( JAM ),Baton Rouge
1982,44.68,Sunder Nix ( USA ),Indianapolis
1983,44.50,Erwin Skamrahl ( FRG ),München
1984,44.27,Alonzo Babers ( USA ),Los Angeles
1985,44.47,Michael Franks ( USA ),Canberra
