Building,Location,Council area,First built,Use,Notes
Knap of Howar,Papa Westray,Orkney,3700 BC,House,Oldest preserved stone house in north west Europe
Midhowe Chambered Cairn,Rousay,Orkney,3500 BC,Tomb,A well-preserved example of the Orkney - Cromarty type on the island of Rousay
Unstan Chambered Cairn,Stenness,Orkney,3450 BC,Tomb,"Excavated in 1884 , when grave goods were found , giving their name to Unstan ware"
Knowe of Yarso chambered cairn,Rousay,Orkney,3350 BC,Tomb,One of several Rousay tombs . It contained numerous deer skeletons when excavated in the 1930s
Quanterness chambered cairn,St Ola,Orkney,3250 BC,Tomb,The remains of 157 individuals were found inside when excavated in the 1970s
Skara Brae,Sandwick,Orkney,3180 BC,Settlement,Northern Europe 's best preserved Neolithic village
Tomb of the Eagles,South Ronaldsay,Orkney,3150 BC,Tomb,"In use for 800 years or more . Numerous bird bones were found here , predominantly white-tailed sea eagle"
Grey Cairns of Camster,Upper Camster,Highland,3000 BC or older,Tomb,A group of three cairns
Taversoe Tuick chambered cairn,Rousay,Orkney,3000 BC,Tomb,"Unusually , there is an upper and lower chamber"
Holm of Papa chambered cairn,Holm of Papa,Orkney,3000 BC,Tomb,The central chamber is over 20 metres long
Barpa Langass,North Uist,Na h-Eileanan Siar,3000 BC,Tomb,The best preserved chambered cairn in the Hebrides
Cuween Hill Chambered Cairn,Finstown,Orkney,3000 BC,Tomb,"Excavated in 1901 , when it was found to contain the bones of men , dogs and oxen"
Quoyness cairn,Sanday,Orkney,2900 BC,Tomb,An arc of Bronze Age mounds surrounds this cairn
Maeshowe,Stenness,Orkney,2800 BC,Tomb,The entrance passage is 36 feet ( 11 m ) long and leads to the central chamber measuring about 15 feet ( 4.6 m ) on each side
Crantit cairn,Kirkwall,Orkney,2130 BC,Tomb,Discovered in 1998 near Kirkwall
Rubha an Dùnain passage grave,Skye,Highland,2000 BC or older,Tomb,On a now uninhabited peninsula to the south of the Cuillin hills
Corrimony chambered cairn,Drumnadrochit,Highland,2000 BC or older,Tomb,A Clava-type passage grave surrounded by a circle of 11 standing stones
Balnuaran of Clava,Nairn,Highland,2000 BC,Tomb,"The largest of three is the north-east cairn , which was partially reconstructed in the 19th century . The central cairn may have been used as a funeral pyre"
Vinquoy cairn,Eday,Orkney,2000 BC,Tomb,At an elevated location on the north end of the island
Glebe cairn,Kilmartin Glen,Argyll and Bute,1700 BC,Tomb,An early Bronze Age structure with two stone cists
