Original NFL team,Player,Pos,College,Conf
Atlanta Falcons,Josh Harris,LS,Auburn,SEC
Baltimore Ravens,Deonte Thompson,WR,Florida,SEC
Baltimore Ravens,Justin Tucker,K,Texas,Big 12
Buffalo Bills,Shawn Powell,P,Florida State,ACC
Chicago Bears,Ryan Quigley,P,Boston College,ACC
Cincinnati Bengals,Vontaze Burfict,LB,Arizona State,Pac-12
Cincinnati Bengals,Trevor Robinson,C,Notre Dame,Ind . ( FBS )
Cleveland Browns,L. J. Fort,LB,Northern Iowa,MVFC
Cleveland Browns,Tashaun Gipson,S,Wyoming,MW
Dallas Cowboys,Cole Beasley,WR,SMU,C-USA
Dallas Cowboys,Ronald Leary,G,Memphis,C-USA
Dallas Cowboys,Jamize Olawale,FB,North Texas,Sun Belt
Denver Broncos,Aaron Brewer,LS,San Diego State,MW
Denver Broncos,Duke Ihenacho,S,San Jose State,WAC
Denver Broncos,Mike Remmers,OT,Oregon State,Pac-12
Detroit Lions,Kellen Moore,QB,Boise State,MW
Green Bay Packers,Don Barclay,OT,West Virginia,Big East
Green Bay Packers,Dezman Moses,LB,Tulane,C-USA
Green Bay Packers,Greg Van Roten,C,Penn,Ivy
Houston Texans,Case Keenum,QB,Houston,C-USA
