Country,Navy,In service,In reserve,Under construction
Australia,Royal Australian Navy,2,0,0
Brazil,Brazilian Navy,1,0,0
China,People 's Liberation Army Navy,2,0,2 ( 4 planned )
Egypt,Egyptian Navy,2,0,0
France,French Navy,3,0,0
India,Indian Navy,0,0,0 ( 4 planned total )
Japan,Japan Maritime Self-Defense Force,4,0,0
Russia,Russian Navy,0,0,0 ( 3 planned total )
South Korea,Republic of Korea Navy,1,0,1
Spain,Royal Spanish Navy,1,0,0
Thailand,Royal Thai Navy,1,0,0
Turkey,Turkish Naval Forces,0,0,1
United States,United States Navy,9,3,1 ( 11 planned total )
