Player,Pos,Bastia career,Match,Goal,Nationality
Jean-Jacques Padovani,Forward,-1969,3,,France
Michel Padovani,Midfielder,1984-1989 and 1993-1995,102,3,France
Julian Palmieri,Midfielder,2005-2006 and 2012-,3,0,France
François Panizzi,Midfielder,1968-1970,4,1,France
Olivier Pantaloni,Midfielder,1988-1990,44,7,France
Ilja Pantelic,Goalkeeper,1971-1974,108,0,Yugoslavia
Arnaud Paoli,Goalkeeper,2000-2003,0,0,France
Claude Papi,Midfielder,1968-1982,389,117,France
Daniel Pasco,Goalkeeper,1979-1980,0,0,France
Jean-Marie Pasqualetti,Midfielder,1974-1975,0,0,France
José Pasqualetti,Midfielder,1975-1977,10,0,France
Paulo Alves,Forward,1998-1999,17,3,Portugal
José Pastinelli,Defender,1976-1986 and 1989-1990,166,1,France
Reynald Pedros,Midfielder,2001-2003,15,0,France
Nicolas Penneteau,Goalkeeper,1998-2005,181,0,France
Xavier Pentecôte,Forward,2007-2008 and 2009-2010,47,24,France
Sébastien Pérez,Defender,1996-1998 and Ja.1999-1999,75,12,France
Jacques-Désiré Périatambée,Midfielder,2009-2012,51,0,Mauritius
Dan Petersen,Forward,1999-2001,27,3,Denmark
Ognjen Petrović,Goalkeeper,1976-1978,43,0,Yugoslavia
