Artist,Single,Released,Sales ( in millions )
Nelly and Kelly Rowland,Dilemma,2002,7.6
Christina Aguilera,Genie in a Bottle,1999,7
The Beatles,Ca n't Buy Me Love,1964,7
The Black Crowes,Hard to Handle,1990,7
Chic,Le Freak,1978,7
Danyel Gérard,Butterfly,1971,7
Las Ketchup,The Ketchup Song ( Aserejé ),2002,7
Scott McKenzie,San Francisco ( Be Sure to Wear Flowers in Your Hair ),1967,7
Alanis Morissette,Uninvited,1998,7
Queen,Another One Bites the Dust,1980,7
Julie Rogers,The Wedding,1964,7
Royal Scots Dragoon Guards,Amazing Grace,1972,7
Roy Orbison,"Oh , Pretty Woman",1964,7
Spice Girls,Wannabe,1996,7
Ricky Valance,Tell Laura I Love Her,1960,7
