Rank,Country,Team,Points
1,England,Mel Batty John Anderson Brian Hall Gerry North Ron Hill Brian Craig,44
2,Spain,José Molíns Iluminado Corcuera Fernando Aguilar Francisco Guardia Antonio Amoros Francisco Aritmendi,115
3,Belgium,Gaston Roelants Marcel Vandewattyne Georges Fromont Jean-Pierre Delloye Julius Saenen Frans van der Hoeven,132
4,Morocco,Rhadi Ben Abdesselam Bakir Benaissa Mohamed Said Mohamed Lahcen Mohamed Ben Mohamed Hammadi Ben Mohamed,192
5,Scotland,Andy Brown Alastair Wood Stan Taylor Jim Alder Callum Laing Bert Irving,200
6,South Africa,Willie Olivier Keith Pearce Jan Barnard Stephanus Steyn Charles Minnaar Cyril Bentall,218
7,France,Salah Beddiaf Alain Mimoun Paul Genève Francis Duleau Alexis Chauvel Hamida Addéche,218
8,Tunisia,Youssef Mastouri Ali Khamassi Labidi Ayachi Mhedheb Hannachi Mohamed Gammoudi Ali Tarbag,229
9,Ireland,Mick Neville Derek Graham John McDonnell Pat Killeen Benny O'Sullivan Mick Connolly,287
10,Wales,Jim O'Brien Norman Horrell Ron Franklin Roger Harrison-Jones Barrie Saunders Alan Griffiths,419
