Team,Qualified as,Qualified on,Previous appearances in tournament
France,Host,28 May 2010,"8 ( 1960 , 1984 , 1992 , 1996 , 2000 , 2004 , 2008 , 2012 )"
England,Group E winner,5 September 2015,"8 ( 1968 , 1980 , 1988 , 1992 , 1996 , 2000 , 2004 , 2012 )"
Czech Republic,Group A winner,6 September 2015,"8 ( 1960 , 1976 , 1980 , 1996 , 2000 , 2004 , 2008 , 2012 )"
Iceland,Group A runner-up,6 September 2015,0 ( debut )
Austria,Group G winner,8 September 2015,1 ( 2008 )
Northern Ireland,Group F winner,8 October 2015,0 ( debut )
Portugal,Group I winner,8 October 2015,"6 ( 1984 , 1996 , 2000 , 2004 , 2008 , 2012 )"
Spain,Group C winner,9 October 2015,"9 ( 1964 , 1980 , 1984 , 1988 , 1996 , 2000 , 2004 , 2008 , 2012 )"
Switzerland,Group E runner-up,9 October 2015,"3 ( 1996 , 2004 , 2008 )"
Italy,Group H winner,10 October 2015,"8 ( 1968 , 1980 , 1988 , 1996 , 2000 , 2004 , 2008 , 2012 )"
Belgium,Group B winner,10 October 2015,"4 ( 1972 , 1980 , 1984 , 2000 )"
Wales,Group B runner-up,10 October 2015,0 ( debut )
Romania,Group F runner-up,11 October 2015,"4 ( 1984 , 1996 , 2000 , 2008 )"
Albania,Group I runner-up,11 October 2015,0 ( debut )
Germany,Group D winner,11 October 2015,"11 ( 1972 , 1976 , 1980 , 1984 , 1988 , 1992 , 1996 , 2000 , 2004 , 2008 , 2012 )"
Poland,Group D runner-up,11 October 2015,"2 ( 2008 , 2012 )"
Russia,Group G runner-up,12 October 2015,"10 ( 1960 , 1964 , 1968 , 1972 , 1988 , 1992 , 1996 , 2004 , 2008 , 2012 )"
Slovakia,Group C runner-up,12 October 2015,0 ( debut )
Croatia,Group H runner-up,13 October 2015,"4 ( 1996 , 2004 , 2008 , 2012 )"
Turkey,Best third-placed team,13 October 2015,"3 ( 1996 , 2000 , 2008 )"
