Year,Title,Publisher
1991,They Called Him Evil,Mockingbird Studios
1999,Gear,Fireman Press
2002,Creature Tech,Top Shelf Productions
2004,Tommysaurus Rex,Image Comics
2005,Earthboy Jacobus,Image Comics
2006,Iron West,Image Comics
2007,Black Cherry,Image Comics
2007,Flink,Image Comics
2008,Monster Zoo,Image Comics
2009,Power Up,Image Comics
2010,Ghostopolis,GRAPHIX
2011,Bad Island,GRAPHIX
2012,Cardboard,GRAPHIX
2015,Nnewts - Escape From the Lizzarks,GRAPHIX
2016,Nnewts - The Rise of Herk,GRAPHIX
2017,Nnewts - The Battle for Amphibopolis,GRAPHIX
2019,Bigfoot Bill : Shadow of the Mothman,Self-published
2019,Earthworm Jim : Launch the Cow,Self-published
