Preceding Pope,Following Pope,Beginning,Ending,Duration
Pius VI,Pius VII,29 August 1799,14 March 1800,197 days
Pius VII,Leo XII,20 August 1823,28 September 1823,39 days
Leo XII,Pius VIII,10 February 1829,31 March 1829,49 days
Pius VIII,Gregory XVI,30 November 1830,2 February 1831,63 days
Gregory XVI,Pius IX,1 June 1846,16 June 1846,15 days
Pius IX,Leo XIII,7 February 1878,20 February 1878,13 days
Leo XIII,Pius X,20 July 1903,4 August 1903,15 days
Pius X,Benedict XV,20 August 1914,3 September 1914,14 days
Benedict XV,Pius XI,22 January 1922,6 February 1922,15 days
Pius XI,Pius XII,10 February 1939,2 March 1939,20 days
Pius XII,John XXIII,9 October 1958,28 October 1958,19 days
John XXIII,Paul VI,3 June 1963,21 June 1963,18 days
Paul VI,John Paul I,6 August 1978,26 August 1978,20 days
John Paul I,John Paul II,28 September 1978,16 October 1978,18 days
John Paul II,Benedict XVI,2 April 2005,19 April 2005,17 days
Benedict XVI,Francis,28 February 2013,13 March 2013,13 days
