Club,Qualified,Champions,Runners-up,Seasons
VfL Benrath,5,0,0,"1930 , 1932 , 1933 , 1934 , 1935"
Alemannia Berlin,2,0,0,"1924 , 1925"
Berliner BC,1,0,0,1914
SpVgg Blau-Weiß 1890 Berlin,2,0,0,"1939 , 1942"
Hertha BSC,15,2,4,"1906 , 1925 , 1926 , 1927 , 1928 , 1929 , 1930 , 1931 , 1933 , 1935 , 1937 , 1944 , 1957 , 1961 , 1963"
Kickers 1900 Berlin,1,0,0,1927
Minerva 93 Berlin,1,0,0,1932
Norden-Nordwest Berlin,3,0,0,"1906 , 1922 , 1926"
BFC Preussen,2,0,0,"1910 , 1912"
Berliner SV 92,7,0,1,"1903 , 1904 , 1936 , 1938 , 1943 , 1949 , 1954"
Tasmania 1900 Berlin,6,0,0,"1909 , 1910 , 1911 , 1959 , 1960 , 1962"
Tennis Borussia Berlin,10,0,0,"1928 , 1929 , 1930 , 1931 , 1932 , 1941 , 1950 , 1951 , 1952 , 1958"
Union Oberschöneweide,4,0,1,"1920 , 1923 , 1940 , 1948"
Union 92 Berlin,2,1,0,"1905 , 1906"
Union 06 Berlin,2,0,0,"1950 , 1953"
Viktoria 89 Berlin,10,2,2,"1907 , 1908 , 1909 , 1911 , 1912 , 1913 , 1933 , 1934 , 1955 , 1956"
Vorwärts Berlin,1,0,1,1921
Beuthen 09,6,0,0,"1930 , 1931 , 1932 , 1933 , 1934 , 1937"
Arminia Bielefeld,2,0,0,"1922 , 1923"
VfB Bielefeld,1,0,0,1931
