Name,Location,Type
AccorHotels Arena,Paris,Multi-purpose indoor arena
Park & Suites Arena,Montpellier,Multi-purpose indoor arena
Allianz Riviera,Nice,Football stadium
Groupama Stadiun,Décines-Charpieu,Football stadium
Matmut Stadium,"Vénissieux , Lyon",Rugby union stadium
Matmut Stadium de Gerland,Lyon,Football and rugby union stadium
MMArena,Le Mans,Football stadium
Paris La Défense Arena,Nanterre,Multi-purpose domed stadium
Kindarena,Rouen,Multi-purpose indoor arena
Orange Vélodrome,Marseille,Football stadium
