Community,Airport name,TC LID
Arnes,Arnes Airport,CJQ5
Gilbert Plains,Gilbert Plains Airport,CJH2
Gods Lake Narrows,Gods Lake Narrows Water Aerodrome,CJS8
Hartney,Hartney Airport,CKT5
Matheson Island,Matheson Island Airport,CJT2
Portage la Prairie,Canadian Forces Base Portage la Prairie,
Pukatawagan,Pukatawagen Water Aerodrome,CKP4
Shilo,Shilo Heliport,CKM3
Shilo,Shilo ( Flewin Field ) Heliport,CKN9
Ste . Rose du Lac,Ste . Rose du Lac Airport,CKR3
The Pas,The Pas/Grace Lake Water Aerodrome,CKC3
Virden,Virden ( West ) Airport,CJZ5
Wabowden,Wabowden Water Aerodrome,CKK6
Warren,Warren/Woodlands Airport,CKX2
