Train name,Operator,Train endpoints,Operated
Acty [ ja ],JR East,Tokyo - Atami,1989-
Airport [ ja ],JR Hokkaido,"Otaru , Sapporo - New Chitose Airport",1992-
Aqua Liner [ ja ],JR-West,Yonago - Masuda,2001-
Aterui,JR East,Mizusawa - Morioka,2001-
Central Liner [ ja ],JR Central,Nagoya - Nakatsugawa,1999-2013
Hamayuri [ ja ],JR East,Morioka - Kamaishi ( via Kamaishi Line ),2002-
Kansai Airport Rapid Service [ ja ],JR-West,Tennōji - Kansai Airport ( via Ōsaka ),1994-
Karikachi [ ja ],JR Hokkaido,"Takikawa , Asahikawa - Obihiro",1990-
Kishuji Rapid Service [ ja ],JR-West,"Tennōji - Wakayama , Kainan , Gobō , Kii-Tanabe ( via Ōsaka )",1999-
Kitami,JR Hokkaido,Asahikawa - Kitami,1998-
Kubikino,JR East,Arai - Niigata,2002-2015
Marine Liner,JR-West / JR Shikoku,Okayama - Takamatsu,1988-
Mie [ ja ],JR Central / Ise Tetsudo,Nagoya - Toba,1990-
Nayoro [ ja ],JR Hokkaido,Asahikawa - Nayoro,1965-
Rabbit [ ja ],JR East,"Tokyo - Utsunomiya , Kuroiso",1988-
Rias [ ja ],JR East,Morioka - Miyako ( via Yamada Line ),1988-
Shōnan Liner,JR East,Tokyo - Odawara ( Some of trains pass Tōkaidō Freight Line ),1986-
Tambaji Rapid Service [ ja ],JR-West,Ōsaka - Sasayamaguchi,2000-
Tottori Liner [ ja ],JR-West,"Tottori - Yonago , Izumoshi",2001-
Urban [ ja ],JR East,"Tokyo - Takasaki , Maebashi",1989-
