Person,Executive branch service,Legislative branch service,Judicial branch service
James L. Buckley,"Undersecretary of State for Security Assistance , 1981-1982 President of Radio Free Europe/Radio Liberty , 1982-1985","Senator , New York , 1971-1977","U.S . Circuit Judge , U.S. Court of Appeals for the D.C . Circuit , 1985-1996"
James F. Byrnes,"Director , Office of Economic Stabilization , 1942-1943 Chairman , Office of War Mobilization , 1943-1945 Secretary of State , 1945-1947","Representative , South Carolina , 1911-1925 Senator , South Carolina , 1931-1941","Associate Justice of the Supreme Court of the United States , 1941-1942"
Salmon P. Chase,"Secretary of the Treasury , 1861-1864","Senator , Ohio , 1849-1855 ; 1861","Chief Justice of the United States , 1864-1873"
"Henry De Lamar Clayton , Jr","United States Attorney , Middle District of Alabama , 1893-1896","Representative , Alabama , 1897-1914","U.S. District Judge , U.S. District Court for the Northern District of Alabama and U.S. District Court for the Middle District of Alabama , 1914-1929"
Nathan Clifford,"Attorney General , 1846-1848 Minister to Mexico , 1848-1849","Representative , Maine , 1839-1843","Associate Justice of the Supreme Court of the United States , 1858-1881"
Alfred Conkling,"Minister to Mexico , 1852-1853","Representative , New York , 1821-1823","U.S. District Judge , U.S. District Court for the Northern District of New York , 1825-1852"
J. Harry Covington,"Member , Railway Wage Commission , 1918-1920","Representative , Maryland , 1909-1914","U.S. District Judge , Supreme Court of the District of Columbia , 1914-1918"
Mahlon Dickerson,"Secretary of the Navy , 1834-1838","Senator , New Jersey , 1817-1833","U.S. District Judge , U.S. District Court for the District of New Jersey , 1840-1841"
Gabriel Duvall,"First Comptroller of the Treasury , 1802-1811","Representative , Maryland , 1794-1796","Associate Justice of the Supreme Court of the United States , 1811-1835"
Powhatan Ellis,"Minister to Mexico , 1839-1842","Senator , Mississippi , 1825-1826 ; 1827-1832","U.S. District Judge , U.S. District Court for the District of Mississippi , 1832-1836"
Walter Evans,"Commissioner of Internal Revenue , 1883-1885","Representative , Kentucky , 1895-1899","U.S. District Judge , U.S. District Court for the District of Kentucky , 1899-1901 U.S. District Judge , U.S. District Court for the Western District of Kentucky , 1901-1923"
George P. Fisher,"United States Attorney , District of Columbia , 1870-1875 First Auditor of the Treasury Department , 1889-1893","Representative , Delaware , 1861-1863","U.S. District Judge , Supreme Court of the District of Columbia , 1863-1870"
Nathan Goff Jr,"United States Attorney , District of West Virginia , 1868-1881 ; 1881-1882 Secretary of the Navy , 1881","Representative , West Virginia , 1883-1889 Senator , West Virginia , 1913-1919","U.S . Circuit Judge , U.S. Court of Appeals for the Fourth Circuit , 1892-1913"
Nathan K. Hall,"Postmaster General , 1850-1852","Representative , New York , 1847-1849","U.S. District Judge , U.S. District Court for the Northern District of New York , 1852-1874"
Guy T. Helvering,"Commissioner of Internal Revenue , 1933-1944","Representative , Kansas , 1913-1919","U.S. District Judge , U.S. District Court for the District of Kansas , 1943-1946"
John J. Hickey,"United States Attorney , District of Wyoming , 1949-1953","Senator , Wyoming , 1961-1962","U.S . Circuit Judge , U.S. Court of Appeals for the Tenth Circuit , 1966-1970"
David M. Key,"Postmaster General , 1877-1880","Senator , Tennessee , 1875-1877","U.S. District Judge , U.S. District Court for the Eastern District of Tennessee and U.S. District Court for the Middle District of Tennessee , 1880-1895"
Lucius Quintus Cincinnatus Lamar II,"Secretary of the Interior , 1885-1888","Representative , Mississippi , 1857-1860 ; 1873-1877 Senator , Mississippi , 1877-1885","Associate Justice of the Supreme Court of the United States , 1888-1893"
John Laurance,"Judge Advocate General , 1777-1782","Representative , New York , 1789-1793 Senator , New York , 1796-1800","U.S. District Court , U.S. District Court for the District of New York , 1794-1796"
Oscar Raymond Luhring,"Assistant Attorney General for the Criminal Division , 1925-1930","Representative , Indiana , 1919-1923","U.S. District Judge , U.S. District Court for the District of Columbia , 1930-1944"
