Year,Location,Gold,Silver,Bronze
2006,Ufa,Svetlana Tchernousova ( RUS ),Marina Bortchoukova ( RUS ),Lenka Faltusová ( CZE )
2007,Otepää,Kaisa Mäkäräinen ( FIN ),Lilia Efremova ( UKR ),Tetiana Rud ( UKR )
2008,Haute Maurienne,Teja Gregorin ( SLO ),Marie-Laure Brunet ( FRA ),Maria Kossinova ( RUS )
2009,Oberhof,Magdalena Neuner ( GER ),Maria Kossinova ( RUS ),Natalia Levchenkova ( MDA )
2010,Duszniki-Zdrój,Krystyna Pałka ( POL ),Agnieszka Cyl ( POL ),Ľubomíra Kalinová ( SVK )
2011,Nové Město,Valentyna Semerenko ( UKR ),Krystyna Pałka ( POL ),Jana Gereková ( SVK )
2012,Ufa,Olga Zaitseva ( RUS ),Vita Semerenko ( UKR ),Olga Vilukhina ( RUS )
2013,Forni Avoltri,Dorothea Wierer ( ITA ),Jitka Landová ( CZE ),Karin Oberhofer ( ITA )
2014,Tyumen,Teja Gregorin ( SLO ) Krystyna Guzik ( POL ),-,Tang Jialin ( CHN )
2015,Cheile Grădiștei,Olga Abramova ( UKR ),Monika Hojnisz ( POL ),Magdalena Gwizdoń ( POL )
2016,Otepää,Olena Pidhrushna ( UKR ),Anna Frolina ( KOR ),Iryna Varvynets ( UKR )
2017,Chaykovskiy,Svetlana Sleptsova ( RUS ),Paulína Fialková ( SVK ),Olga Dmitrieva ( RUS )
2018,Nové Město,Paulína Fialková ( SVK ),Monika Hojnisz ( POL ),Galina Vishnevskaya ( KAZ )
2019,Minsk,Ekaterina Glazyrina ( RUS ) Lucie Charvátová ( CZE ),-,Darya Blashko ( UKR )
