Title,First Broadcast,Last Broadcast
Brotherhood,2006,2008
Dexter,2006,2013
Fast Track,1997,1998
I 'm Dying Up Here,2017,2018
Leap Years,2001,2002
Look : The Series,2010,2010
Masters of Horror,2005,2007
Masters of Sex,2013,2016
Meadowlands,2007,2007
Penny Dreadful,2014,2016
Queer as Folk,2000,2005
Ray Donovan,2013,2020
Resurrection Blvd,2000,2002
Roadies,2016,2016
Secret Diary of a Call Girl,2008,2011
Sleeper Cell,2005,2006
Soul Food,2000,2004
Street Time,2002,2003
The Affair,2014,2019
The Borgias,2011,2013
