Name,Institution,Location
Pi Alpha,Yale University,"New Haven , Connecticut"
Pi Beta,"Rochester , New York City-Wide ( State University of New York at Brockport , Rochester Institute of Technology , University of Rochester )","Rochester , New York"
Pi Gamma,Western Carolina University,"Cullowhee , North Carolina"
Pi Delta,Stony Brook University,New York
Pi Epsilon,,Illinois
Pi Zeta,McNeese State University,"Lake Charles , Louisiana"
Pi Eta,State University of New York,"Binghamton , New York"
Pi Theta,Dartmouth College,"Hanover , New Hampshire"
Pi Iota,"Springfield , Massachusetts City-Wide","Amherst , Massachusetts"
Pi Kappa,Denison University,"Granville , Ohio"
Pi Lambda,Iona College Westchester City-Wide,"New Rochelle , New York"
Pi Mu,Longwood University,"Farmville , Virginia"
Pi Nu,Southern Polytechnic State University,"Marietta , GA"
Pi Xi,California State University-Chico,"Chico , California"
Pi Omicron,Wake Forest University,"Winston-Salem , North Carolina"
Pi Rho,Long Island University C.W . Post Campus,"Brookville , New York"
Pi Sigma,State University of New York at Old Westbury,"Westbury , New York"
Pi Tau,Adelphi University,"Garden City , New York"
Pi Phi,"Fairleigh Dickinson University , Ramapo College",New Jersey
Pi Chi,"California State University , Dominguez Hills","Carson , California"
