,Name on the Register,Date listed,Location,City or town
1,Ah Toy Garden,"June 27 , 1990 ( # 90000893 )",Along China Creek near its confluence with the South Fork of the Salmon River in the Payette National Forest 45°12′57″N 115°33′21″W / 45.215833°N 115.555833°W / 45.215833 ; -115.555833 ( Ah Toy Garden ),Warren
2,Aitken Barn,"August 9 , 1982 ( # 82002512 )",Southwest of Riggins on U.S. Route 95 45°24′28″N 116°19′48″W / 45.407896°N 116.329933°W / 45.407896 ; -116.329933 ( Aitken Barn ),Riggins
3,Arctic Point Fire Lookout,"August 29 , 1994 ( # 94001019 )",North of Big Creek in the Frank Church-River of No Return Wilderness and the Payette National Forest 45°28′28″N 115°02′19″W / 45.474373°N 115.038593°W / 45.474373 ; -115.038593 ( Arctic Point Fire Lookout ),Big Creek
4,James V. and Sophia Baker House,"January 6 , 2004 ( # 03001366 )",204 Broadway St. 46°02′51″N 116°21′04″W / 46.047448°N 116.351135°W / 46.047448 ; -116.351135 ( James V. and Sophia Baker House ),Cottonwood
5,Polly Bemis House,"March 4 , 1988 ( # 87002152 )",Accessible on the Salmon River via boat 45°25′59″N 115°40′13″W / 45.433056°N 115.670278°W / 45.433056 ; -115.670278 ( Polly Bemis House ),Riggins
6,Big Cedar School,"November 29 , 2016 ( # 16000806 )",947 Red Fir Rd . 46°05′52″N 115°51′08″W / 46.097790°N 115.852185°W / 46.097790 ; -115.852185 ( Big Cedar School ),Kooskia
7,Blue Fox Theatre,"November 30 , 1999 ( # 99001412 )",116 W. Main St. 45°55′32″N 116°07′09″W / 45.925556°N 116.119167°W / 45.925556 ; -116.119167 ( Blue Fox Theatre ),Grangeville
8,Burgdorf,"April 14 , 1972 ( # 72000441 )",About 15 miles west of Warrens 45°16′38″N 115°54′46″W / 45.277222°N 115.912778°W / 45.277222 ; -115.912778 ( Burgdorf ),Burgdorf
9,Butts Point Creek Fire Lookout,"December 28 , 2018 ( # 100002786 )","Butts Creek Point , approx.. 40 mi . NE of Salmon , ID ; Frank Church - River of No Return Wilderness 45°21′42″N 114°44′15″W / 45.3616°N 114.7374°W / 45.3616 ; -114.7374 ( Butts Point Creek Fire Lookout )",Salmon vicinity
10,Campbell 's Ferry,"February 8 , 2007 ( # 07000037 )",Southeastern bank of the Salmon River at Mile 148 in the Frank Church-River of No Return Wilderness 45°29′11″N 115°20′03″W / 45.486252°N 115.334133°W / 45.486252 ; -115.334133 ( Campbell 's Ferry ),Riggins
11,Carey Dome Fire Lookout,"March 25 , 1994 ( # 94000268 )","Nez Perce National Forest , 9 miles north of United States Forest Service Burgdorf Guard Station 45°24′10″N 115°54′12″W / 45.402778°N 115.903333°W / 45.402778 ; -115.903333 ( Carey Dome Fire Lookout )",Burgdorf
12,Celadon Slope Garden,"June 27 , 1990 ( # 90000891 )",Along China Creek near its confluence with the South Fork of the Salmon River in the Payette National Forest 45°12′58″N 115°34′15″W / 45.216111°N 115.570833°W / 45.216111 ; -115.570833 ( Celadon Slope Garden ),Warren
13,Chamberlain Ranger Station Historic District,"January 14 , 2004 ( # 03001388 )",Frank Church-River of No Return Wilderness 45°22′32″N 115°12′02″W / 45.375556°N 115.200556°W / 45.375556 ; -115.200556 ( Chamberlain Ranger Station Historic District ),Payette National Forest
14,Chi-Sandra Garden,"June 27 , 1990 ( # 90000892 )",Along China Creek near its confluence with the South Fork of the Salmon River in the Payette National Forest 45°12′52″N 115°33′50″W / 45.214444°N 115.563889°W / 45.214444 ; -115.563889 ( Chi-Sandra Garden ),Warren
15,Chinese Cemetery,"March 29 , 1994 ( # 94000270 )","Payette National Forest , 0.5 miles northwest of Warren Wagon Rd . at B 45°16′22″N 115°41′06″W / 45.272778°N 115.685°W / 45.272778 ; -115.685 ( Chinese Cemetery )",Warren
16,Chinese Mining Camp Archeological Site,"September 4 , 1994 ( # 94001018 )",Northwest of Warren in the Payette National Forest 45°16′14″N 115°41′34″W / 45.270556°N 115.692778°W / 45.270556 ; -115.692778 ( Chinese Mining Camp Archeological Site ),Warren
17,Cold Meadows Guard Station,"August 19 , 1994 ( # 94001017 )",Northeast of McCall in the Frank Church-River of No Return Wilderness and the Payette National Forest 45°17′10″N 114°56′28″W / 45.286111°N 114.941111°W / 45.286111 ; -114.941111 ( Cold Meadows Guard Station ),McCall
18,Deep Creek Ranger Station,"December 11 , 2013 ( # 13000902 )","West Fork Ranger District , Bitterroot National Forest 45°42′15″N 114°43′03″W / 45.704052°N 114.717392°W / 45.704052 ; -114.717392 ( Deep Creek Ranger Station )",Bitterroot National Forest
19,Jurden Henry Elfers Barn and Field,"June 7 , 2007 ( # 07000544 )","South bank of John Day Creek , ⅓ mile east of U.S. Route 95 45°34′59″N 116°17′15″W / 45.582957°N 116.287626°W / 45.582957 ; -116.287626 ( Jurden Henry Elfers Barn and Field )",Lucile
20,Elk City Wagon Road-Vicory Gulch-Smith Grade Segment,"May 21 , 2001 ( # 01000536 )",Nez Perce National Forest 45°51′29″N 115°35′23″W / 45.858056°N 115.589722°W / 45.858056 ; -115.589722 ( Elk City Wagon Road-Vicory Gulch-Smith Grade Segment ),Elk City
