Order,Name,Years on the Court
1,Matthew Deady,1859-1893
2,Charles B. Bellinger,1893-1905
3,Charles E. Wolverton,1905-1926
4,Robert S. Bean,1909-1931
5,John H. McNary,1927-1936
6,James A . Fee,1931-1954
7,Claude C. McColloch,1937-1959
8,Gus J. Solomon,1949-1987
9,William G. East,1955-1985
10,John Kilkenny,1959-1969
11,Robert C. Belloni,1967-1999
12,Alfred Goodwin,1969-1971
13,James M. Burns,1972-2001
14,Otto R. Skopil Jr,1972-1979
15,Helen J. Frye,1980-2011
16,Owen M. Panner,1980-2018
17,James A. Redden,1980-present
18,Edward Leavy,1984-1987
19,Malcolm F. Marsh,1987-present
20,Robert E. Jones,1990-present
