Country,City,Airport,Notes
Brazil,Alta Floresta,Piloto Osvaldo Marques Dias Airport,Terminated
Brazil,Aracaju,Santa Maria Airport,Terminated
Brazil,Belém,Val de Cans International Airport,Terminated
Brazil,Belo Horizonte,Tancredo Neves International Airport,Terminated
Brazil,Brasília,Pres . Juscelino Kubitschek International Airport,Terminated
Brazil,Campo Grande,Campo Grande International Airport,Terminated
Brazil,Chapecó,Serafin Enoss Bertaso Airport,Terminated
Brazil,Cuiabá,Marechal Rondon International Airport,Terminated
Brazil,Curitiba,Afonso Pena International Airport,Terminated
Brazil,Florianópolis,Hercílio Luz International Airport,Terminated
Brazil,Fortaleza,Pinto Martins International Airport,Terminated
Brazil,Foz do Iguaçu,Cataratas International Airport,Terminated
Brazil,Goiânia,Santa Genoveva Airport,Terminated
Brazil,Ilhéus,Jorge Amado Airport,Terminated
Brazil,Ji-Paraná,José Coleto Airport,Terminated
Brazil,João Pessoa,Pres . Castro Pinto International Airport,Terminated
Brazil,Juazeiro do Norte,Orlando Bezerra de Menezes Airport,Terminated
Brazil,Maceió,Zumbi dos Palmares International Airport,Terminated
Brazil,Manaus,Eduardo Gomes International Airport,Terminated
Brazil,Natal,Augusto Severo International Airport,Terminated
