Recording date,Album,Personnel,Release date
"1961-05-23 , 1961-06-07",Africa/Brass,"Pat Patrick , Freddie Hubbard , Booker Little , Britt Woodman , Julian Priester , Charles Greenlee , Carl Bowman , Bill Barber , Garvin Bushell , Julius Watkins , Jim Buffington , Bob Northern , Donald Corrado , Robert Swisshelm , Eric Dolphy , McCoy Tyner , Reggie Workman , Art Davis , Elvin Jones",1961-09-01
"1962-04-11 , 1962-06-19 , 1962-06-20 , 1962-06-29",Coltrane,"McCoy Tyner , Jimmy Garrison , Elvin Jones",1962-08-00
1962-09-26,Duke Ellington & John Coltrane ( co-leader ),"Duke Ellington ( co-leader ) , Jimmy Garrison , Elvin Jones , Aaron Bell , Sam Woodyard",1963-02-00
"1961-12-21 , 1962-09-18 , 1962-11-13",Ballads,"McCoy Tyner , Jimmy Garrison , Reggie Workman ( 1961-12-21 ) , Elvin Jones",1963-03-00
1963-03-07,John Coltrane and Johnny Hartman ( co-leader ),"Johnny Hartman ( co-leader ) , McCoy Tyner , Jimmy Garrison , Elvin Jones",1963-07-00
"1961-11-05 , 1962-09-18 , 1963-04-29",Impressions,"McCoy Tyner , Jimmy Garrison , Elvin Jones , Roy Haynes ( 1963-04-29 ) , Eric Dolphy , Reggie Workman ( 1961-11-05 )",1963-07-00
"1963-10-08 , 1963-11-18",Live at Birdland,"McCoy Tyner , Jimmy Garrison , Elvin Jones",1964-04-00
"1964-04-27 , 1964-06-01",Crescent,"McCoy Tyner , Jimmy Garrison , Elvin Jones",1964-07-00
1964-12-09,A Love Supreme,"McCoy Tyner , Jimmy Garrison , Elvin Jones",1965-01-00
"1965-02-18 , 1965-05-17",The John Coltrane Quartet Plays,"McCoy Tyner , Jimmy Garrison ( 1965-05-17 ) , Art Davis ( 1965-02-18 ) , Elvin Jones",1965-08-00
1965-06-28,Ascension,"McCoy Tyner , Jimmy Garrison , Elvin Jones , Marion Brown , Art Davis , Freddie Hubbard , Dewey Johnson , Pharoah Sanders , Archie Shepp , John Tchicai",1966-02-00
"1965-06-10 , 1965-06-16 , 1965-10-14",Kulu Sé Mama,"McCoy Tyner , Jimmy Garrison , Elvin Jones , Pharoah Sanders , Donald Rafael Garrett , Frank Butler , Juno Lewis",1967-01-00
1965-11-23,Meditations,"McCoy Tyner , Jimmy Garrison , Elvin Jones , Pharoah Sanders , Rashied Ali",1966-09-00
"1967-02-15 , 1967-03-07",Expression,"Alice Coltrane , Pharoah Sanders , Jimmy Garrison , Rashied Ali",1967-09-00
