Team,Location,Stadium,Stadium capacity
Akropolis IF,Kista,Spånga IP,"2,000"
Bodens BK,Boden,Boden Arena,"5,300"
Carlstad United BK,Karlstad,Tingvalla IP,"10,000"
BK Forward,Örebro,Trängens IP,"4,700"
Gefle IF,Gävle,Gavlevallen,"6,500"
Karlslunds IF,Örebro,Karlslund Arena,"2,000"
Karlstad BK,Karlstad,Tingvalla IP,"10,000"
FC Linköping City,Linköping,Linköping Arena,"8,300"
Nyköpings BIS,Nyköping,Rosvalla IP,"1,000"
Rynninge IK,Örebro,Grenadjärvallen,"1,500"
Sandvikens IF,Sandviken,Jernvallen,"7,000"
Sollentuna FK,Sollentuna,Sollentunavallen,"4,500"
IF Sylvia,Norrköping,Östgötaporten,"17,000"
Team TG FF,Umeå,Umeå Energi Arena,"10,000"
Umeå FC,Umeå,Umeå Energi Arena,"10,000"
Vasalunds IF,Solna,Skytteholms IP,"4,000"
