Rank,City,State,Chinese-Americans,Percentage
1,San Francisco,California,"180,372",21.2
2,Irvine,California,"34,022",13.8
3,Oakland,California,"34,106",8.3
4,San Jose,California,"75,582",7.5
5,New York,New York,"562,205",6.6
6,Plano,Texas,"14,822",5.3
7,Honolulu,Hawaii,"51,149",5.2
8,Boston,Massachusetts,"30,097",4.6
9,Seattle,Washington,"30,223",4.5
10,Sacramento,California,"21,691",4.5
11,Jersey City,New Jersey,"8,420",3.3
12,San Diego,California,"43,715",3.2
13,Fairfax,Virginia,"28,806",2.5
14,Philadelphia,Pennsylvania,"35,451",2.3
15,Pittsburgh,Pennsylvania,"6,677",2.2
16,Stockton,California,"6,226",2.1
17,Portland,Oregon,"12,222",2.0
18,Los Angeles,California,"77,073",2.0
19,Chicago,Illinois,"52,917",1.9
20,Austin,Texas,"15,170",1.7
