Location,ICAO,IATA,Airport Name
Abengourou,DIAU,OGO,Abengourou Airport
Abidjan,DIAP,ABJ,Port Bouet Airport ( Felix Houphouet Boigny Int ' l )
Aboisso,DIAO,ABO,Aboisso Airport
Bocanda,DIBC,,Bocanda Airport
Bondoukou,DIBU,BDK,Soko Airport
Bouaké,DIBK,BYK,Bouaké Airport
Bouna,DIBN,BQO,Tehini Airport
Boundiali,DIBI,BXI,Boundiali Airport
Dabou,DIDB,,Dabou Airport
Daloa,DIDL,DJO,Daloa Airport
Dimbokro,DIDK,DIM,Dimbokro Airport
Divo,DIDV,DIV,Divo Airport
Ferkessedougou,DIFK,FEK,Ferkessedougou Airport
Gagnoa,DIGA,GGN,Gagnoa Airport
Grand-Béréby,DIGN,BBV,Nero-Mer Airport
Guiglo,DIGL,GGO,Guiglo Airport
Katiola,,KTC,Katiola Airport
Korhogo,DIKO,HGO,Korhogo Airport
Man,DIMN,MJC,Man Airport
Odienné,DIOD,KEO,Odienné Airport
