Site,Location,Criteria,Area ha ( acre ),Year of submission
Gwaii Haanas,Canada British Columbia 52°23′21″N 131°28′16″W / 52.38917°N 131.47111°W / 52.38917 ; -131.47111 ( Gwaii Haanas ),"Mixed : ( iii ) , ( v ) , ( vi ) , ( vii ) , ( ix ) , ( x )","147,000 ( 360,000 )",2004
Ivvavik / Vuntut / Herschel Island ( Qikiqtaruk ),Canada Yukon 69°31′11″N 139°31′30″W / 69.51972°N 139.52500°W / 69.51972 ; -139.52500 ( Ivvavik / Vuntut / Herschel Island ( Qikiqtaruk ) ),"Mixed : ( iv ) , ( v ) , ( vii ) , ( viii ) , ( x )","1,550,000 ( 3,800,000 )",2004
Quttinirpaaq,Canada Nunavut 82°13′N 72°13′W / 82.217°N 72.217°W / 82.217 ; -72.217 ( Quttinirpaaq ),"Mixed : ( iii ) , ( vii ) , ( viii ) , ( x )","3,777,500 ( 9,334,000 )",2004
Trondëk-Klondike,Canada Yukon 64°N 139°W / 64°N 139°W / 64 ; -139 ( The Klondike ),"Cultural : ( iv ) , ( v )",,2004
Hecate Strait and Queen Charlotte Sound Glass Sponge Reefs,Canada British Columbia,"Natural : ( viii ) , ( ix ) , ( x )","100,000 ( 250,000 )",2018
Stein Valley,Canada British Columbia 50°15′26″N 122°0′12″W / 50.25722°N 122.00333°W / 50.25722 ; -122.00333 ( Stein Valley ),"Cultural : ( iii ) , ( vi )","107,191 ( 264,870 )",2018
Wanuskewin,Canada Saskatchewan 52°13′39″N 106°35′47.54″W / 52.22750°N 106.5965389°W / 52.22750 ; -106.5965389 ( Wanuskewin ),Cultural : ( iii ),,2018
Anticosti Island,Canada Quebec 49°51′42.05″N 64°31′20.01″W / 49.8616806°N 64.5222250°W / 49.8616806 ; -64.5222250 ( Anticosti Island ),Natural : ( viii ),"928,900 ( 2,295,000 ) ( includes littoral area )",2018
Heart 's Content Cable Station Provincial Historic Site,Canada Newfoundland and Labrador 47°52′21.1″N 53°22′7.1″W / 47.872528°N 53.368639°W / 47.872528 ; -53.368639 ( Heart 's Content Cable Station ),"Cultural : ( ii ) , ( iv )",,
Qajartalik,Canada Nunavut 61°19′53.66″N 71°29′58.72″W / 61.3315722°N 71.4996444°W / 61.3315722 ; -71.4996444 ( Qajartalik ),Cultural : ( iii ),,2018
Sirmilik National Park and the proposed Tallurutiup Imanga National Marine Conservation Area,Canada Nunavut 73°51′7.69″N 83°4′50.128″W / 73.8521361°N 83.08059111°W / 73.8521361 ; -83.08059111 ( Sirmilik National Park and the proposed Tallurutiup Imanga National Marine Conservation Area ),"Mixed : ( v ) , ( ix )",,2018
Yukon Ice Patches,Canada Yukon 60°16′49.6″N 135°41′36.6″W / 60.280444°N 135.693500°W / 60.280444 ; -135.693500 ( Yukon Ice Patches ),"Cultural : ( iii ) , ( v )",,2018
