Season,Player,School,Position
1965,Bob Rowe,Western Michigan,
1966,Bob Rowe ( 2 ),Western Michigan,
1967,Tom Beutler,Toledo,DL
1968,Bob Babich,Miami,LB
1969,Joe Green,Bowling Green,DB
1970,Dick Adams,Miami,DB
1971,Mel Long,Toledo,
1972,Jack Lambert,Kent State,LB
1973,Brad Cousino,Miami,LB
1974,Brad Cousino ( 2 ),Miami,LB
1975,Shafer Suggs,Ball State,DB
1976,Aaron Bivins,Toledo,
1977,Jack Glowik,Miami,
1978,Ken Kremer,Ball State,
1979,Frank Lewandowski,Northern Illinois,LB
1980 *,Kent McCormick,Miami,LB
1980*,Mike Terra,Northern Illinois,
1981,John Zupancic,Miami,
1982,Ray Bentley,Central Michigan,LB
1983,Brian Pillman,Miami,DT
