Name,Area,Established,Location
Aurora Memorial National Park,"5,676.00 ha ( 14,025.7 acres )",1937,Aurora Nueva Ecija
Balbalasang-Balbalan National Park,"1,338.00 ha ( 3,306.3 acres )",1972,Kalinga
Bangan Hill National Park,13.90 ha ( 34.3 acres ),1995,Nueva Vizcaya
Bataan National Park,"23,688.00 ha ( 58,534.3 acres )",1945,Bataan
Biak-na-Bato National Park,"2,117.00 ha ( 5,231.2 acres )",1937,Bulacan
Bulabog Putian National Park,"854.33 ha ( 2,111.1 acres )",1961,Iloilo
Caramoan National Park,347.00 ha ( 857.5 acres ),1938,Camarines Sur
Cassamata Hill National Park,57.00 ha ( 140.9 acres ),1974,Abra
Fuyot Springs National Park,"819.00 ha ( 2,023.8 acres )",1938,Isabela
Guadalupe Mabugnao Mainit Hot Spring National Park,57.50 ha ( 142.1 acres ),1972,Cebu
Hundred Islands National Park,"1,676.30 ha ( 4,142.2 acres )",1940,Pangasinan
Kuapnit Balinsasayao National Park,364.00 ha ( 899.5 acres ),1937,Leyte
Lake Butig National Park,68.00 ha ( 168.0 acres ),1965,Lanao del Sur
Lake Dapao National Park,"1,500.00 ha ( 3,706.6 acres )",1965,Lanao del Sur
Libmanan Caves National Park,19.40 ha ( 47.9 acres ),1934,Camarines Sur
Luneta National Park,58 ha ( 140 acres ),1955,Metro Manila
MacArthur Landing Memorial National Park,6.78 ha ( 16.8 acres ),1977,Leyte
Mado Hot Spring National Park,48.00 ha ( 118.6 acres ),1939,Cotabato
Minalungao National Park,"2,018.00 ha ( 4,986.6 acres )",1967,Nueva Ecija
Mount Arayat National Park,"3,715.23 ha ( 9,180.5 acres )",1933,Pampanga
