Name,Location ( county ),Area ( ha ),Year of establishment,Year of declaration,Website
Apuseni,"Alba , Bihor , Cluj","75,784",1990,2000,
Brăila Small Puddle,Brăila,"17,529",1978,2000,bmb.ro
Bucegi,"Brașov , Dâmbovița , Prahova","32,663",1974,2000,bucegipark.ro
Cefa,Bihor,"5,002",2010,2010,
Cindrel,Sibiu,"9,873",2000,2000,
Comana,Giurgiu,"24,963",2005,2005,comanaparc.ro
Dumbrava Sibiului,Sibiu,993,1963,2000,
Grădiștea Muncelului-Cioclovina,Hunedoara,"38,184",1979,2000,gradiste.ro
Hațeg Country Dinosaur Geopark,Hunedoara,"1,023.92",2005,2005,hateggeoparc.ro
Iron Gates,"Caraș-Severin , Mehedinți","115,665.8",1990,2000,portiledefier.ro
Lower Prut Floodplain,Galați,"8,247",2005,2005,
Maramureș Mountains,Maramureș,"148,850",2004,2004,muntiimaramuresului.ro
Mehedinți Plateau Geopark,"Gorj , Mehedinți",106.5,2005,2005,
Mureș Floodplain,Arad,171.66,2005,2005,luncamuresului.ro
Putna-Vrancea,Vrancea,"30,204",2004,2004,putnavrancea.ro
Upper Mureș Defile,Mureș,"9,156",2007,2007,
Vânători-Neamț,Neamț,"30,818",1999,2000,vanatoripark.ro
