Name,Japanese,Population ( 2012 ),Date of designation,Region,Prefecture
Atsugi,厚木市,"224,181",2002-04-01,Kantō,Kanagawa
Hiratsuka,平塚市,"260,061",2001-04-01,Kantō,Kanagawa
Ibaraki,茨木市,"276,474",2001-04-01,Kansai,Osaka
Isesaki,伊勢崎市,"207,253",2007-04-01,Kantō,Gunma
Jōetsu,上越市,"202,366",2007-04-01,Chūbu,Niigata
Kakogawa,加古川市,"268,175",2002-04-01,Kansai,Hyōgo
Kasugai,春日井市,"306,573",2002-04-01,Chūbu,Aichi
Kasukabe,春日部市,"236,976",2008-04-01,Kantō,Saitama
Kumagaya,熊谷市,"201,814",2009-04-01,Kantō,Saitama
Nagaoka,長岡市,"281,101",2007-04-01,Chūbu,Niigata
Numazu,沼津市,"199,883",2000-04-01,Chūbu,Shizuoka
Ōta,太田市,"217,107",2007-04-01,Kantō,Gunma
Saga,佐賀市,"237,501",2014-04-01,Kyushu,Saga
Sōka,草加市,"244,851",2004-04-01,Kantō,Saitama
Takarazuka,宝塚市,"227,617",2003-04-01,Kansai,Hyōgo
Yamato,大和市,"230,357",2000-04-01,Kantō,Kanagawa
