Rank,Name,Nation,Total points,SP,FS
1,Viktória Pavuk,Hungary,113.84,3,1
2,Henriikka Hietaniemi,Finland,110.11,1,3
3,Viktoria Helgesson,Sweden,105.15,4,4
4,Karen Venhuizen,Netherlands,102.71,5,2
5,Olga Ikonnikova,Estonia,96.08,12,5
6,Isabelle Pieman,Belgium,94.07,9,6
7,Anna Weinberger,France,93.87,6,7
8,Jelena Muhhina,Estonia,92.94,2,12
9,Kirsten Verbist,Belgium,89.17,11,8
10,Malin Hållberg-Leuf,Sweden,88.10,7,11
11,Federica Constantini,Italy,87.82,8,10
12,Katarina Gerboldt,Russia,87.16,10,9
13,Jacqueline Voll,Netherlands,74.90,14,13
14,Anna Jurkiewicz,Poland,74.58,13,14
WD,Maylin Hausch,Germany,,,
WD,Lilia Biktagirova,Russia,,,
WD,Alisa Kireeva,Ukraine,,,
