#,Title,Characters,Year,Director,Series
1,Daffy Duck and the Dinosaur,Daffy,"April 22 , 1939",Chuck Jones,MM
2,Super-Rabbit,Bugs,"April 3 , 1943",Chuck Jones,MM
3,Daffy Duck & Egghead,"Daffy , Egghead","January 1 , 1938",Tex Avery,MM
4,A Gruesome Twosome,Tweety,"June 9 , 1945",Bob Clampett,MM
5,Draftee Daffy,Daffy,"January 27 , 1945",Bob Clampett,LT
6,Falling Hare,Bugs,"October 30 , 1943",Bob Clampett,MM
7,Steal Wool,Ralph and Sam,"June 8 , 1957",Chuck Jones,LT
8,Birds Anonymous,"Tweety , Sylvester , Clarence Cat","August 10 , 1957",Friz Freleng,MM
9,No Barking,"Claude , Frisky","February 27 , 1954",Chuck Jones,MM
10,Rabbit Punch,"Bugs , The Crusher","April 10 , 1948",Chuck Jones,MM
11,An Itch in Time,"Elmer , Willoughby","December 4 , 1943",Bob Clampett,MM
12,Odor-able Kitty,Pepé,"January 6 , 1945",Chuck Jones,LT
13,Walky Talky Hawky,"Foghorn , Henery , Barnyard Dawg","August 31 , 1946",Robert McKimson,MM
14,Gonzales ' Tamales,"Speedy , Sylvester","November 30 , 1957",Friz Freleng,LT
15,To Beep or Not to Beep,Wile E. Coyote and the Road Runner,"December 28 , 1963","Chuck Jones , Maurice Noble",MM
