Year,Horse,Age,Trainer,Owner
1970,Fort Marcy ( DRF ),6,J. Elliott Burch,Rokeby Stables
1970,Nodouble ( TRA ),5,J. Bert Sonnier,Gene Goff
1969,Arts and Letters ( DRF ),3,J. Elliott Burch,Rokeby Stables
1969,Nodouble ( TRA ),4,J. Bert Sonnier,Gene Goff
1968,Dr. Fager,4,John A. Nerud,William L. McKnight
1967,Damascus ( DRF ),3,Frank Y. Whiteley Jr,Edith W. Bancroft
1967,Buckpasser ( TRA ) ( TSD ),4,Edward A. Neloy,Ogden Phipps
1966,Buckpasser ( DRF ),3,Edward A. Neloy,Ogden Phipps
1966,Bold Bidder ( TRA ),4,Woody Stephens,John R. Gaines
1965,Roman Brother,4,Burley Parke,Harbor View Farm
1964,Kelso,7,Carl Hanford,Bohemia Stable
1963,Kelso,6,Carl Hanford,Bohemia Stable
1962,Kelso,5,Carl Hanford,Bohemia Stable
1961,Kelso,4,Carl Hanford,Bohemia Stable
1960,Bald Eagle,5,Woody Stephens,Cain Hoy Stable
1959,Sword Dancer ( DRF ),3,J. Elliott Burch,Brookmeade Stable
1959,Round Table ( TRA ),5,William Molter,Kerr Stable
1958,Round Table,4,William Molter,Kerr Stable
1957,Dedicate,5,G. Carey Winfrey,Jan Winfrey Burke
1956,Swaps,4,Mesh Tenney,Rex C. Ellsworth
