P,Name,Age,Moving to,Type,Source
DF,Danilo,20,Porto,Transferred,Globo Esporte
FW,Diogo,24,Olympiacos,Loan expiration,
DF,Leandro Silva,22,Atlético Sorocaba,Loan expiration,Futebol Interior
MF,Rodrigo Possebon,23,Unattached,Contract terminated,Santos FC
MF,Rodrigo Mancha,25,Vitória,Contract terminated,Santos FC
DF,Domingos,26,Guarani,End of contract,Terra Esportes
DF,Bruno Aguiar,26,Sport,Transferred,Lancenet
MF,Ibson,28,Flamengo,Swapped,Estadão
FW,Wason Rentería,26,Caxias,Loan Expiration,Globo Esporte
FW,Alan Kardec,23,Benfica,Loan Expiration,Globo Esporte
FW,Borges,31,Cruzeiro,Contract terminated,Globo Esporte
MF,Elano,31,Grêmio,Swapped,Globo Esporte
MF,Ganso,22,São Paulo,Transferred,Globo Esporte
