Band,Years active,Origin,Studio albums
"Ga Ga 's , The",2002-2006,"London , England",Tonight the Midway Shines ( 2005 )
"Gavin Rossdale Bush , Institute",1983-present,"London , England",WANDERlust ( 2008 )
Godsmack,1995-present,"Lawrence , Massachusetts",Godsmack ( 1998 ) Awake ( 2000 ) Faceless ( 2003 ) IV ( 2006 ) The Oracle ( 2010 ) 1000hp ( 2014 ) When Legends Rise ( 2018 )
"Gracious Few , The",2009-2011,"York , Pennsylvania",The Gracious Few ( 2010 )
Green Apple Quick Step,"1992-1998 , 2009-present","Seattle , Washington",Wonderful Virus ( 1993 ) Reloaded ( 1995 ) New Disaster ( 1998 )
Greta,1990-1995,"Los Angeles , California",No Biting ( 1993 ) This Is Greta ! ( 1995 )
Grey Daze,"1993-1998 , 2017-Present","Phoenix , Arizona",Wake Me ( 1994 ) ... No Sun Today ( 1997 )
Grinspoon,"1995-2013 , 2015 , 2017-present","Lismore , New South Wales","Guide to Better Living ( 1997 ) Easy ( 1999 ) New Detention ( 2002 ) Thrills , Kills & Sunday Pills ( 2004 ) Alibis & Other Lies ( 2007 ) Six to Midnight ( 2009 ) Black Rabbits ( 2012 )"
Groundswell pre- Three Days Grace,1992-1995,"Norwood , Ontario",Wave of Popular Feeling ( 1995 )
Guano Apes,"1994-2006 , 2009-present","Göttingen , Germany",Proud Like a God ( 1997 ) Do n't Give Me Names ( 2000 ) Walking on a Thin Line ( 2003 ) Bel Air ( 2011 ) Offline ( 2014 )
