Year,Pick,Player name,College,Position
1960,2,George Izo,Notre Dame,QB
1961,8,Ken Rice,Auburn,T
1962,6,Fate Echols,Northwestern,DT
1962,12,Irv Goode,Kentucky,C
1963,2,Jerry Stovall,LSU,S
1963,13,Don Brumm,Purdue,DE
1964,9,Ken Kortas,Louisville,DT
1965,12,Joe Namath,Alabama,QB
1966,8,Carl McAdams,Oklahoma,LB
1967,16,Dave Williams,Washington,WR
1968,13,MacArthur Lane,Utah State,RB
1969,19,Roger Wehrli,Missouri,DB
1970,8,Larry Stegent,Texas A & M,RB
1971,17,Norm Thompson,Utah,CB
1972,4,Ahmad Rashad,Oregon,RB/WR
1973,5,Dave Butz,Purdue,DT
1974,7,J. V. Cain,Colorado,TE
1975,21,Tim Gray,Texas A & M,DB
1976,22,Mike Dawson,Arizona,DT
1977,19,Steve Pisarkiewicz,Missouri,QB
