Year,Winner ( s ),Work,Nominees
1959,Perry Como,Catch a Falling Star,Come Fly With Me - Frank Sinatra The Hawaiian Wedding Song - Andy Williams Nel Blu Dipinto di Blu ( Volare ) - Domenico Modugno Witchcraft - Frank Sinatra
1960,Frank Sinatra,Come Dance with Me !,Belafonte at Carnegie Hall - Harry Belafonte An Evening with Lerner and Loewe - Robert Merrill Guess Who - Jesse Belvin Mack the Knife - Bobby Darin
1961 ( Single ),Ray Charles,Georgia on My Mind,Are You Lonesome Tonight ? - Elvis Presley He 'll Have to Go - Jim Reeves Misty - Johnny Mathis Nice ' n ' Easy - Frank Sinatra
1961 ( Album ),Ray Charles,The Genius of Ray Charles,Belafonte Returns to Carnegie Hall - Harry Belafonte G.I . Blues - Elvis Presley Nice ' n ' Easy - Frank Sinatra Wild Is Love - Nat King Cole
1962,Jack Jones,Lollipops and Roses,Big Bad John - Jimmy Dean Danny Boy - Andy Williams A Little Bitty Tear - Burl Ives Portrait of My Love - Steve Lawrence
1963,Tony Bennett,I Left My Heart in San Francisco,"Comin ' Home Baby ! - Mel Torme I Ca n't Stop Loving You - Ray Charles What Kind of Fool Am I ? - Anthony Newley What Kind of Fool Am I and Other Show-Stoppers - Sammy Davis , Jr"
1964,Jack Jones,Wives and Lovers,Busted - Ray Charles Catch a Rising Star - John Gary Days of Wine and Roses - Andy Williams I Wan na Be Around ... - Tony Bennett
1965,Louis Armstrong,"Hello , Dolly !",Call Me Irresponsible - Andy Williams Everybody Loves Somebody ( The Hit Version ) - Dean Martin Getz/Gilberto - João Gilberto Who Can I Turn To ? - Tony Bennett
1966,Frank Sinatra,It Was a Very Good Year,Baby the Rain Must Fall - Glenn Yarbrough King Of The Road - Roger Miller The Shadow of Your Smile - Tony Bennett Yesterday - Paul McCartney
1967,Frank Sinatra,Strangers in the Night,Almost Persuaded - David Houston Distant Drums - Jim Reeves Eleanor Rigby - Paul McCartney The Impossible Dream - Jack Jones
1968,Glen Campbell,By the Time I Get to Phoenix,Ca n't Take My Eyes Off You - Joe South Francis Albert Sinatra & Antonio Carlos Jobim - Frank Sinatra My Cup Runneth Over - Ed Ames Yesterday - Ray Charles
1969,José Feliciano,Light My Fire,Honey - Bobby Goldsboro Little Green Apples - O.C . Smith MacArthur Park - Richard Harris Wichita Lineman - Glen Campbell
1970,Harry Nilsson,Everybody 's Talkin ',Games People Play - Joe South Gitarzan - Ray Stevens My Way - Frank Sinatra Raindrops Keep Fallin ' on My Head - B.J . Thomas
1971,Ray Stevens,Everything Is Beautiful,Elton John - Elton John Mad Dogs & Englishmen - Joe Cocker Rainy Night in Georgia - Brook Benton Sweet Baby James - James Taylor
1972,James Taylor,You 've Got a Friend,Ai n't No Sunshine - Bill Withers I Am ... I Said - Neil Diamond If You Could Read My Mind - Gordon Lightfoot It 's Impossible - Perry Como
1973,Harry Nilsson,Without You,"Alone Again ( Naturally ) - Gilbert O'Sullivan American Pie - Don McLean Baby , Do n't Get Hooked on Me - Mac Davis The Candy Man - Sammy Davis , Jr"
1974,Stevie Wonder,You Are the Sunshine of My Life,"And I Love You So - Perry Como Bad , Bad Leroy Brown - Jim Croce Daniel - Elton John There Goes Rhymin ' Simon - Paul Simon"
1975,Stevie Wonder,Fulfillingness ' First Finale,Cat 's in the Cradle - Harry Chapin Do n't Let the Sun Go Down on Me - Elton John Nothing From Nothing - Billy Preston Please Come to Boston - Dave Loggins
1976,Paul Simon,Still Crazy After All These Years,Bad Blood - Neil Sedaka Captain Fantastic and the Brown Dirt Cowboy - Elton John Feelings - Morris Albert Rhinestone Cowboy - Glen Campbell
1977,Stevie Wonder,Songs in the Key of Life,Silk Degrees - Boz Scaggs This Masquerade - George Benson The Wreck of the Edmund Fitzgerald - Gordon Lightfoot You 'll Never Find Another Love Like Mine - Lou Rawls
