Character name,Actor,First appearance,Last appearance
Nick Cutter,Douglas Henshall,1.1,3.3
Stephen Hart,James Murray,1.1,2.7
Helen Cutter,Juliet Aubrey,1.1,3.10
Connor Temple,Andrew Lee Potts,1.1,5.6
Abby Maitland,Hannah Spearritt,1.1,5.6
Claudia Brown,Lucy Brown,1.1,1.6
James Lester,Ben Miller,1.1,5.6
Captain Tom Ryan,Mark Wakeling,1.1,1.6
Tom,Jake Curran,1.2,1.4
Duncan,James Bradshaw,1.2,4.2
Oliver Leek,Karl Theobald,2.1,2.7
Jenny Lewis,Lucy Brown,2.1,4.6
The Cleaner,Tim Faraday,2.1,3.3
Caroline Steel,Naomi Bentley,2.2,2.7
Mick Harper,Ramon Tikaram,2.6,3.4
Captain Hilary Becker,Ben Mansfield,3.1,5.6
Sarah Page,Laila Rouass,3.1,3.10
Christine Johnson,Belinda Stewart-Wilson,3.1,3.9
Danny Quinn,Jason Flemyng,3.2,4.7
Katherine Kavanagh,Ruth Gemmell,3.3,3.4
