Medal,Name,Sport,Event
Gold,Dhouha Ben Othmen,Karate,Kumite −55 kg
Gold,Khalil El Maoui,Weightlifting,Men 's 56 kg snatch
Gold,Khalil El Maoui,Weightlifting,Men 's 56 kg clean & jerk
Gold,Oussama Mellouli,Swimming,Men 's 200 m freestyle
Gold,Oussama Mellouli,Swimming,Men 's 400 m freestyle
Gold,Oussama Mellouli,Swimming,Men 's 1500 m freestyle
Gold,Oussama Mellouli,Swimming,Men 's 400 m individual medley
Gold,Oussama Mellouli,Swimming,Men 's 200 m individual medley
Gold,Ahmed Aouadi,Disability athletics,Men 's 1500 metres T54
Gold,Samira Berri,Disability athletics,Women 's 800 metres T54
Gold,Naziha Hamza,Wrestling,Women 's Freestyle 48 kg
Gold,Hajer Barhoumi,Judo,Women 's 52 kg
Gold,"Mouna Beji , Nadia Ben Abdesslem",Bocce,Women 's double
Silver,Ahmed Mathlouthi,Swimming,Men 's 200 m freestyle
Silver,Mourad Sahraoui,Boxing,Men 's -91 kg
Silver,Soumaya Fatnassi,Weightlifting,Women 's 53 kg snatch
Silver,Hanen Ouerfelli,Weightlifting,Women 's 69 kg clean & jerk
Silver,Hanen Ouerfelli,Weightlifting,Women 's 69 kg snatch
Silver,Soumaya Fatnassi,Weightlifting,Women 's 53 kg clean & jerk
Silver,Marwa Amri,Wrestling,Women 's Freestyle 55 kg
