Team,City,Autonomous community,Arena
AE Badalonès,Badalona,Catalonia,La Plana
Anagan Olivar,Zaragoza,Aragon,Miralbueno
Barberà Team Values,Barberà del Vallès,Catalonia,Can Serra
BBA Castelldefels,Castelldefels,Catalonia,Can Vinader
Camping Bianya Roser,Barcelona,Catalonia,Estació del Nord
CB Cornellà,Cornellà de Llobregat,Catalonia,Parc Esportiu
CB Salou,Salou,Catalonia,Centre Salou
CB Valls Nutrion,Valls,Catalonia,Joana Ballart
Ibersol CB Tarragona,Tarragona,Catalonia,El Serrallo
JAC Sants,Barcelona,Catalonia,Espanya Industrial
Oic Penta UB Sant Adrià,Sant Adrià de Besòs,Catalonia,Municipal
Palma Air Europa B,Palma de Mallorca,Balearic Islands,Toni Servera
Recambios Gaudí CB Mollet,Mollet del Vallès,Catalonia,Plana Lledó
UE Mataró Germans Homs,Mataró,Catalonia,Josep Mora
