Church,Dates,Location,"City , State",Description
Basilica and Shrine of Our Lady of Perpetual Help,1878 built 1989 NRHP-listed,1545 Tremont Street,"Boston , Massachusetts",Romanesque & Gothic Revival ; NRHP # 89001747
Cathedral of the Holy Cross,built 1875,1400 Washington Street,"Boston , Massachusetts",Gothic Revival
St. Augustine Chapel,1818 built 1987 NRHP-listed,181 Dorchester Street,"Boston , Massachusetts",Gothic Revival
St. Clement Eucharistic Shrine,1935 built,1105 Boylston Street,"Boston , Massachusetts",Host to the Oblates of the Virgin Mary
St. Stephen 's Church,1804 built 1975 NRHP-listed,401 Hanover Street,"Boston , Massachusetts",Early Republic
Church of St. Paul,1924 built,29 Mount Auburn Street,"Cambridge , Massachusetts",Italian Renaissance ; the home of the Harvard University Catholic Center
St. John the Evangelist Church,1904 built 1983 NRHP-listed,2270 Massachusetts Avenue,"Cambridge , Massachusetts",Romanesque
Notre Dame Church,1912 built 1989 NRHP-listed,Main & Marcy Streets,"Southbridge , Massachusetts",Late 19th & 20th Century Revival
St. Michael 's Cathedral,1861 built 1974 NRHP-listed,"254 State St. 42°6′15.1″N 72°35′4.1″W / 42.104194°N 72.584472°W / 42.104194 ; -72.584472 ( St. Michael 's Cathedral ( Springfield , Massachusetts ) )","Springfield , Massachusetts","Italianate , Federal Patrick Keely , architect"
Holy Name Church,1927 built,1689 Centre Street,"West Roxbury , Massachusetts",Romanesque Revival
St. Mary 's Church,1876 built 1989 NRHP-listed,159 Washington Street,"Winchester , Massachusetts",Gothic Revival
Cathedral of St. Paul,1874 built 1980 NRHP-listed,38 Chatham Street,"Worcester , Massachusetts",Gothic Revival
St. John 's Church,1845 built 1980 NRHP-listed,44 Temple Street,"Worcester , Massachusetts",Greek Revival ; the oldest church in the city of Worcester
