Date,Placing,Event,Competition,Location,Country
9 July 2009,3,Points race,World Cup,Kunming,China
17 May 2003,2,Points race,World Cup,Sydney,Australia
13 February 2004,2,Scratch,World Cup,Moscow,Russia
12 March 2004,1,Madison,World Cup,Aguascalientes,Mexico
10 April 2004,2,Madison,World Cup,Manchester,United Kingdom
17 January 2005,2,Scratch,World Cup,Manchester,United Kingdom
19 February 2005,1,Points race,World Cup,Sydney,Australia
20 February 2005,1,Madison,World Cup,Sydney,Australia
24 March 2005,,Points race,World Championships,Los Angeles,United States
16 April 2006,,Madison,World Championships,Bordeaux,France
19 December 2007,3,Madison,World Cup,Beijing,China
