Team,Stadium,Home Games,Average Attendance,Total Attendance,Capacity Percentage
Dallas Cowboys,Cowboys Stadium,8,"85,512","684,096",106.9%
New York Giants,New Meadowlands Stadium,8,"79,475","635,800",96.3%
New York Jets,New Meadowlands Stadium,8,"78,986","631,888",95.7%
Washington Redskins,FedExField,8,"76,921","615,368",83.9%
Denver Broncos,Invesco Field at Mile High,8,"75,327","602,618",99.0%
New Orleans Saints,Mercedes-Benz Superdome,8,"73,042","584,336",100.1%
Carolina Panthers,Bank of America Stadium,8,"72,292","578,342",98.0%
Kansas City Chiefs,Arrowhead Stadium,8,"72,082","576,659",93.9%
Houston Texans,Reliant Stadium,8,"71,496","571,969",100.6%
Baltimore Ravens,M & T Bank Stadium,8,"71,224","569,792",100.3%
Green Bay Packers,Lambeau Field,8,"70,512","564,097",96.7%
San Francisco 49ers,Candlestick Park,8,"69,732","557,856",99.3%
Philadelphia Eagles,Lincoln Financial Field,8,"69,144","553,152",102.3%
Tennessee Titans,LP Field,8,"69,143","553,144",100.0%
Atlanta Falcons,Georgia Dome,8,"68,986","551,892",96.8%
New England Patriots,Gillette Stadium,8,"68,756","550,048",100.0%
Seattle Seahawks,CenturyLink Field,8,"66,413","531,311",99.1%
Cleveland Browns,Cleveland Browns Stadium,8,"65,859","526,874",90.0%
San Diego Chargers,Qualcomm Stadium,8,"65,392","523,143",91.7%
Indianapolis Colts,Lucas Oil Stadium,8,"64,828","518,627",102.9%
