Pick,Player,Position,Selected by,Previous team
1,Eddie Bressoud,IF,Houston Colt .45s,San Francisco Giants
2,Hobie Landrith,C,New York Mets,San Francisco Giants
3,Bob Aspromonte,IF,Houston Colt .45s,Los Angeles Dodgers
4,Elio Chacón,IF,New York Mets,Cincinnati Reds
5,Bob Lillis,IF,Houston Colt .45s,St. Louis Cardinals
6,Roger Craig,P,New York Mets,Los Angeles Dodgers
7,Dick Drott,P,Houston Colt .45s,Chicago Cubs
8,Gus Bell *,OF,New York Mets,Cincinnati Reds
9,Al Heist,OF,Houston Colt .45s,Chicago Cubs
10,Joe Christopher,OF,New York Mets,Pittsburgh Pirates
11,Román Mejías,OF,Houston Colt .45s,Pittsburgh Pirates
12,Félix Mantilla,IF,New York Mets,Milwaukee Braves
13,George Williams,IF,Houston Colt .45s,Philadelphia Phillies
14,Gil Hodges *,1B,New York Mets,Los Angeles Dodgers
15,Jesse Hickman,P,Houston Colt .45s,Philadelphia Phillies
16,Craig Anderson,P,New York Mets,St. Louis Cardinals
17,Merritt Ranew,C,Houston Colt .45s,Milwaukee Braves
18,Ray Daviault,P,New York Mets,San Francisco Giants
19,Don Taussig,OF,Houston Colt .45s,St. Louis Cardinals
20,John DeMerit,OF,New York Mets,Milwaukee Braves
