Rank,Title,Studio,Gross
1,Eyyvah Eyvah 2,UIP,"US $ 20,505,652"
2,Love Likes Coincidences,UIP,"US $ 12,349,802"
3,Valley of the Wolves : Palestine,Özen Film,"US $ 9,749,899"
4,God 's Faithful Servant : Barla,Özen Film,"US $ 8,797,985"
5,Sümela 's Password : Basic,Pinema,"US $ 8,612,691"
6,My Grandfather 's People,Warner Bros,"US $ 6,130,561"
7,Anatolian Eagles,Fida Films,"US $ 5,669,800"
8,And Then What ?,Warner Bros,"US $ 4,260,060"
9,Free Man,Özen Film,"US $ 4,044,207"
10,Kolpaçino : Bomba,Warner Bros,"US $ 3,764,575"
