Name,Location,Website
Pilvenmäki,Forssa,pilvenmaki.fi
Vermo,Espoo ( Helsinki ),vermo.fi
Linnunlahti,Joensuu,joensuunravirata.fi
Killeri,Jyväskylä,killeri.fi
Kajaani,Kajaani,kainuunravirata.com
Nikula,Kaustinen,kaustisenravit.fi
Kouvola,Kouvola,kouvolanravirata.com
Sorsasalo,Kuopio,kuopionravirata.fi
Jokimaa,Lahti,
Lappee,Lappeenranta,
Mikkeli,Mikkeli,mikkelinravirata.fi
Äimärautio,Oulu,oulunravit.fi
Pori,Pori,
Mäntyvaara,Rovaniemi,
Seinäjoki,Seinäjoki,
Teivo,Ylöjärvi ( Tampere ),teivonravit.fi
Laivakangas,Tornio,tornionravit.fi
Metsämäki,Turku,turunhippos.fi
Vaasa,Vaasa,
Keskinen,Ylivieska,
