Date,Sport,Venue/Event,Status,Winner/s
3-12,Artistic gymnastics,2014 World Artistic Gymnastics Championships,International,United States
5,WTCC,2014 FIA WTCC Race of China # 1 ( Beijing ),International,Race 1 : Tom Chilton ( ROAL Motorsport ) Race 2 : Robert Huff ( Lada Sport )
5,Formula One,2014 Japanese Grand Prix,International,Lewis Hamilton ( Mercedes )
5-12,Tennis,2014 Shanghai Rolex Masters,International,Roger Federer
11-12,Motorsport,2014 FIA Hill Climb Masters,Continental,Category I winner : Yanick Bodson ( Porsche ) Category II winner : Eric Berguerand ( Lola Cars ) Category III winner : Nicolas Schatz ( Norma Auto Concept ) Nations Cup winners : Italy
12,Formula One,2014 Russian Grand Prix,International,Lewis Hamilton ( Mercedes )
12,Marathon,2014 Chicago Marathon ( WMM ),International,Men : Eliud Kipchoge Women : Rita Jeptoo
12,Motorcycle racing,2014 Japanese motorcycle Grand Prix,International,"MotoGP : Jorge Lorenzo ( Yamaha ) Moto2 : Thomas Lüthi ( Interwetten Racing ) Moto3 : Álex Márquez ( Estrella Galicia 0,0 )"
12,WTCC,2014 FIA WTCC Race of China # 2 ( Shanghai ),International,Race 1 : José María López ( Citroën Total WTCC ) Race 2 : Mehdi Bennani ( Proteam Motorsport )
12-18,Squash,2014 PSA & WSA US Open,International,Men : Mohamed El Shorbagy Women : Nicol David
17-19,Fencing,Men 's Foil World Cup,International,Men : Jérémy Cadot Team : Italy
18-24,Multi-sport,2014 Asian Para Games,Continental,China ( CHN )
19,Motorcycle racing,2014 Australian motorcycle Grand Prix,International,MotoGP : Valentino Rossi ( Yamaha ) Moto2 : Maverick Viñales ( Pons HP 40 ) Moto3 : Jack Miller ( Red Bull KTM Ajo )
20-26,Tennis,WTA Tour Championships,International,Singles : Serena Williams Doubles : Cara Black / Sania Mirza
21-29,Baseball,2014 World Series,Domestic,San Francisco Giants MVP : Madison Bumgarner ( San Francisco Giants )
22-24,Draughts,2014 Turkish Draughts World Championship,International,Faik Yildiz
22-24,Draughts,2014 Rapid Draughts World Championship,International,Ainur Shaibakov
25-15 November,Rugby league,/ 2014 Four Nations,International,New Zealand
26,Motorcycle racing,2014 Malaysian motorcycle Grand Prix,International,MotoGP : Marc Márquez ( Honda ) Moto2 : Maverick Viñales ( Pons HP 40 ) Moto3 : Efrén Vázquez ( SaxoPrint-RTG )
26,WTCC,2014 FIA WTCC Race of Japan,International,Race 1 : José María López ( Citroën Total WTCC ) Race 2 : Gabriele Tarquini ( / Castrol Honda WTC Team )
