Player,Replaced,Team,Price,Reason for replacement
Tim Southee,Ben Hilfenhaus,Chennai Super Kings,"$ 100,000",Injury
Chris Gayle,Dirk Nannes,Royal Challengers Bangalore,"$ 650,000",Injury - side strain
Jacob Oram,Paul Collingwood,Rajasthan Royals,"$ 250,000",Injury - damaged cartilage in right knee
Ryan McLaren,Stuart Broad,Kings XI Punjab,"$ 250,000",Injury - side strain
David Miller,Dimitri Mascarenhas,Kings XI Punjab,"$ 100,000",Surgery - to fix achilles heel injury
Mark Boucher,Brad Haddin,Kolkata Knight Riders,"$ 325,000",Injury - middle finger
Sourav Ganguly,Ashish Nehra,Pune Warriors India,"$ 400,000",Injury - finger
James Faulkner,Angelo Mathews,Pune Warriors India,"$ 100,000",Injury - leg
Ray Price,Moises Henriques,Mumbai Indians,"$ 50,000",Injury - adductor muscle
Dilhara Fernando,Clint McKay,Mumbai Indians,"$ 100,000",Injury - stress fracture in left foot
