Stock symbol,Company,Notes,External link
TAS,Taste Holdings Ltd,"franchise , restaurant , retail brands",tasteholdings.co.za
TAW,Tawana Resources NL,Australia-based diamond exploration company,tawana.com.au
TKG,Telkom SA Limited,telecom ; a principal telecom services provider,telkom.co.za
TBX,Thabex Exploration Limited,"diamonds , coal , gold",thabex.com
TBS,Tiger Brands Limited,"food , healthcare , pharmaceuticals , fisheries",tigerbrands.co.za
TON,Tongaat Hulett Sugar,"sugar , property development , agricultural development , starch , aluminum",tongaat.co.za
TDH,Tradehold Limited,a department store of the RSA and the UK,
TPC,Transpaco Limited,paper and plastic packaging materials,transpaco.co.za
TMT,Trematon Capital Investments Limited,"financial services , investment trust",
TRE,Trencor Limited,"owning , leasing and managing marine cargo containers",trencor.net
TTO,Trustco Group Holdings Ltd,"micro-insurance , financial services , short-term insurance , life cover , mobile , IT",tgi.na
TRU,Truworths International Limited,"fashion , apparel , retail , fashion brands",truworths.co.za
