Club,Greek name,Settlement,Regional unit,Region
Asteras Vlachiotis,Αστέρας Βλαχιώτη,Vlachiotis,Laconia,Peloponnese
Diagoras Vrachnaiika,Διαγόρας Βραχνέικων,Vrachnaiika,Achaea,West Greece
Diavolitsi,Διαβολίτσι,Diavolitsi,Messenia,Peloponnese
Ermionida,Ερμιονίδα,Kranidi,Argolis,Peloponnese
F.C . Sparti,Π.Σ . Η Σπάρτη,Pellana,Laconia,Peloponnese
Nafplio 2017,Ναύπλιο 2017,Nafplion,Argolis,Peloponnese
Olympiacos Zacharo,Ολυμπιακός Ζαχάρως,Zacharo,Elis,West Greece
Pamvouprasiakos Varda,Παμβουπρασιακός Βάρδας,Varda,Elis,West Greece
Panargiakos,Παναργειακός,Argos,Argolis,Peloponnese
Pangytheatikos,Πανγυθεατικός,Gytheio,Laconia,Peloponnese
Paniliakos,Πανηλειακός,Pyrgos,Elis,West Greece
Thyella Patras,Θύελλα Πατρών,Patras,Achaea,West Greece
Tsilivi,Τσιλιβή,Planos,Zakynthos,Ionian Islands
Zakynthos,Ζάκυνθος,Zakynthos,Zakynthos,Ionian Islands
