Name,Chartered,Institution,Location
Sigma Alpha,"November 21 , 1993",University of North Florida,"Jacksonville , Florida"
Sigma Beta,"February 19 , 1994",Davenport University,"Grand Rapids , Michigan"
Sigma Delta,"October 15 , 1992",Missouri University of Science and Technology,"Rolla , Missouri"
Sigma Epsilon,"February 26 , 1995",Kennesaw State University,"Kennesaw , Georgia"
Sigma Zeta,,Northern Kentucky University,"Highland Heights , Kentucky"
Sigma Eta,1995,Samford University,"Birmingham , Alabama"
Sigma Theta,,Midwestern State University,"Wichita Falls , Texas"
Sigma Iota,1995,Lynchburg College,"Lynchburg , Virginia"
Sigma Mu,"March 29 , 1996",University of Texas at Dallas,"Richardson , Texas"
Sigma Nu,1996,Missouri Western State University,"saint Joseph , Missouri"
Sigma Xi,"April 21 , 1996",Coastal Carolina University,"Conway , South Carolina"
Sigma Omicron,1996,University of Utah,"Salt Lake City , Utah"
Sigma Pi,,Newberry College,"Newberry , South Carolina"
Sigma Rho,1997,University of Alaska Anchorage,"Anchorage , Alaska"
Sigma Sigma,"November 26 , 1930","Austin , Texas Alumnae","Austin , Texas"
Sigma Tau,,"California State University , Stanislaus","Turlock , California"
Sigma Upsilon,,University of Wisconsin-Parkside,"Kenosha , Wisconsin"
Sigma Phi,,University of Arkansas at Monticello,"Monticello , Arkansas"
Sigma Chi,1997,West Virginia Wesleyan College,"Buckhannon , West Virginia"
