Year,Performing artist ( s ),Work,Nominees
1980,Eagles,Heartache Tonight,The Blues Brothers - Briefcase Full of Blues The Cars - Candy-O Dire Straits - Sultans of Swing The Knack - My Sharona Styx - Cornerstone
1981,Bob Seger and the Silver Bullet Band,Against the Wind,Blondie - Call Me Queen - Another One Bites the Dust Pink Floyd - The Wall The Pretenders - Brass in Pocket
1982,The Police,Do n't Stand So Close to Me,Foreigner - 4 REO Speedwagon - Hi Infidelity The Rolling Stones - Tattoo You Stevie Nicks and Tom Petty - Stop Draggin ' My Heart Around
1983,Survivor,Eye of the Tiger,Asia - Asia The J. Geils Band - Centerfold Kenny Loggins and Steve Perry - Do n't Fight It Frank and Moon Zappa - Valley Girl
1984,The Police,Synchronicity,Big Country - In a Big Country Huey Lewis and the News - Heart and Soul Talking Heads - Burning Down the House ZZ Top - Eliminator
1985,Prince and the Revolution,Purple Rain,The Cars - Heartbeat City Genesis - Genesis Van Halen - Jump Yes - 90125
1986,Dire Straits,Money for Nothing,Bryan Adams and Tina Turner - It 's Only Love Eurythmics - Would I Lie to You ? Heart - Heart Starship - We Built This City
1987,Eurythmics,Missionary Man,Artists United Against Apartheid - Sun City The Fabulous Thunderbirds - Tuff Enuff The Rolling Stones - Harlem Shuffle ZZ Top - Afterburner
1988,U2,The Joshua Tree,Heart - Bad Animals Georgia Satellites - Keep Your Hands to Yourself Los Lobos - By the Light of the Moon Yes - Big Generator
1989,U2,Desire,INXS - Kick Joan Jett and the Blackhearts - I Hate Myself for Loving You Midnight Oil - Beds Are Burning Little Feat - Let It Roll
1990,Traveling Wilburys,Traveling Wilburys Vol . 1,Living Colour - Glamour Boys The Rolling Stones - Mixed Emotions U2 - Rattle and Hum U2 and B . B . King - When Love Comes to Town
1991,Aerosmith,Janie 's Got a Gun,INXS - Suicide Blonde Midnight Oil - Blue Sky Mining Red Hot Chili Peppers - Higher Ground The Rolling Stones - Almost Hear You Sigh
1992,Bonnie Raitt and Delbert McClinton,"Good Man , Good Woman",Jane 's Addiction - Been Caught Stealing R.E.M . - Radio Song Queensrÿche - Silent Lucidity Tom Petty & the Heartbreakers - Into the Great Wide Open
1993,U2,Achtung Baby,En Vogue - Free Your Mind Little Village - Little Village Los Lobos - Kiko Red Hot Chili Peppers - Under the Bridge
1994,Aerosmith,Livin ' on the Edge,"Blind Melon - No Rain Bob Dylan , Roger McGuinn , Tom Petty , Neil Young , Eric Clapton and George Harrison - My Back Pages Soul Asylum - Runaway Train Spin Doctors - Two Princes"
1995,Aerosmith,Crazy,Counting Crows - Round Here Green Day - Basket Case Nirvana - All Apologies Pearl Jam - Daughter
1996,Blues Traveler,Run-Around,"Eagles - Hotel California Dave Matthews Band - What Would You Say Jimmy Page and Robert Plant - Kashmir U2 - Hold Me , Thrill Me , Kiss Me , Kill Me"
1997,Dave Matthews Band,So Much to Say,Garbage - Stupid Girl Oasis - Wonderwall The Smashing Pumpkins - 1979 The Wallflowers - 6th Avenue Heartache
1998,The Wallflowers,One Headlight,Aerosmith - Falling in Love ( Is Hard on the Knees ) Fleetwood Mac - The Chain Matchbox Twenty - Push Dave Matthews Band - Crash into Me
1999,Aerosmith,Pink,Fastball - The Way Hole - Celebrity Skin The Verve - Bitter Sweet Symphony The Wallflowers - Heroes
