Cat . No,Artist,Title,Format,Release Date YYYY-MM-DD
SYUN-001,SYUN,OOPARTS,CD,1994-05-25
SYUN-002,P-MODEL,Pause,CD,1994-05-25
DSS-001,P-MODEL,demo,Mini CD single,1994-05-25
SYUN-003,P-MODEL,"The Way of LIVE ( LIVEの方法 , LIVE no Hōhō )",CD,1994-07-25
SYUN-004,Kotobuki Hikaru with Phnonpenh MODEL,Desk Top Hard Lock,CD,1994-07-25
SYUN-005,Pre P-MODEL,"Air On The Wiring ( 配線上のアリア , Haisenjō no Aria )",CD,1994-10-22
SYUN-006,SYUN,Landscapes,CD,1994-10-22
SYUN-007,P-MODEL,Corrective Errors〜re-mix of Fune ( Corrective Errors〜re-mix of 舟 ),CD,1995-09-30
SYUN-008,Tadahiko Yokogawa,DIVE,CD,1995-09-30
SYUN-009,P-MODEL,SCUBA RECYCLE,CD,1995-11-30
SYUN-010,SYUN,SHUN・4 VISION ( 旬IV VISION ),VHS,1995-11-30
S-32580 S-32581,P-MODEL,SAKSIT North Passage MIX,Vinyl,1996-02-29
SYUN-011,SYUN,"Kun Mae on a Calculation ( 計算上のKun Mae , Keisanjō no Kun Mae )",CD,1996-02-29
SYUN-012,Shifukudan,Chiputan ( 致富譚 ),CD,1996-02-29
SYUN-013,Fukō Project,"How about FUKO ? ( 不幸はいかが ? , Fukō wa ika ga ? )",CD,1996-10-05
SYUN-014,PEVO,CONVEX AND CONCAVE,CD,1996-10-05
SYUN-015,Teruo Nakano,User Unknown,CD,1996-12-10
SYUN-016,P-MODEL,Sankai no Jintai Chizu ( 三界の人体地図 ),VHS,1996-12-10
SYUN-017,Tadahiko Yokogawa,solecism,CD,1997-10-24
