Church name,Address,Community,School
Blessed Sacrament,6657 W. Sunset Blvd . 34°05′53″N 118°20′06″W / 34.09806°N 118.33500°W / 34.09806 ; -118.33500 ( Blessed Sacrament ),Los Angeles ( Hollywood ),K-8 [ 33 ]
St. Vibiana [ 34 ],923 South La Brea Ave. 34°03′28″N 118°20′45″W / 34.05778°N 118.34583°W / 34.05778 ; -118.34583 ( St. Vibiana ),Los Angeles ( Mid-City ),No
Christ the King [ 35 ],624 North Rossmore Ave. 34°04′56″N 118°19′35″W / 34.08222°N 118.32639°W / 34.08222 ; -118.32639 ( Christ the King ),Los Angeles ( Hollywood ),K-8 [ 36 ]
Holy Spirit [ 37 ],1425 S. Dunsmuir Ave. 34°02′51″N 118°21′15″W / 34.04750°N 118.35417°W / 34.04750 ; -118.35417 ( Holy Spirit ),Los Angeles ( Mid-City ),
Immaculate Heart of Mary [ 38 ],4954 Santa Monica Blvd . 34°05′25″N 118°17′51″W / 34.09028°N 118.29750°W / 34.09028 ; -118.29750 ( Immaculate Heart of Mary ),Los Angeles ( East Hollywood ),K-8 [ 39 ] 9-12 [ 40 ]
Nativity of the Blessed Virgin Mary ( Ukrainian-Byzantine ) [ 41 ],5154 De Longpre Ave. 34°05′47″N 118°18′08″W / 34.09639°N 118.30222°W / 34.09639 ; -118.30222 ( Nativity of the Blessed Virgin Mary ),Los Angeles ( East Hollywood ),No
Our Mother of Good Counsel [ 42 ],2060 N. Vermont Ave. 34°06′34″N 118°17′29″W / 34.10944°N 118.29139°W / 34.10944 ; -118.29139 ( Our Mother of Good Counsel ),Los Angeles ( Los Feliz ),K-8 [ 43 ]
San Conrado Mission [ 44 ],1820 Bouett St. 34°04′39″N 118°14′06″W / 34.07750°N 118.23500°W / 34.07750 ; -118.23500 ( San Conrado Mission ),Los Angeles ( Elysian Park ),No
St . Basil,3611 Wilshire Blvd . 34°03′42″N 118°18′11″W / 34.06167°N 118.30306°W / 34.06167 ; -118.30306 ( St . Basil ),Los Angeles ( Miracle Mile ),No
St. Brendan,310 S. Van Ness Ave. 34°04′07″N 118°18′53″W / 34.06861°N 118.31472°W / 34.06861 ; -118.31472 ( St. Brendan ),Los Angeles ( Koreatown ),K-8 [ 45 ]
St. Bridget ( Chinese ) [ 46 ],510 Cottage Home St. 34°04′08″N 118°14′08″W / 34.06889°N 118.23556°W / 34.06889 ; -118.23556 ( St. Bridget ),Los Angeles ( Chinatown ),No
St. Casimir,2718 Saint George St. 34°06′30″N 118°16′29″W / 34.10833°N 118.27472°W / 34.10833 ; -118.27472 ( St. Casimir ),Los Angeles ( Los Feliz ),No
St. Francis of Assisi [ 47 ],1523 Golden Gate Ave. 34°05′23″N 118°16′33″W / 34.08972°N 118.27583°W / 34.08972 ; -118.27583 ( St. Francis of Assisi ),Los Angeles ( Silverlake ),K-8 [ 48 ]
St. Gregory Nazianzen [ 49 ],900 S. Bronson Ave. 34°03′21″N 118°19′15″W / 34.05583°N 118.32083°W / 34.05583 ; -118.32083 ( St. Gregory Nazianzen ),Los Angeles ( Koreatown ),1-8 [ 50 ]
St. Kevin [ 51 ],4072 Beverly Blvd . 34°04′34″N 118°17′53″W / 34.07611°N 118.29806°W / 34.07611 ; -118.29806 ( St. Kevin ),Los Angeles ( South Hollywood ),No
St. Mary Magdalen [ 52 ],1241 Corning St. 34°03′16″N 118°22′39″W / 34.05444°N 118.37750°W / 34.05444 ; -118.37750 ( St. Mary Magdalen ),Los Angeles ( South Robertson ),1-8 [ 53 ]
St. Teresa of Avila [ 54 ],2215 Fargo St. 34°05′31″N 118°15′32″W / 34.09194°N 118.25889°W / 34.09194 ; -118.25889 ( St. Teresa of Avila ),Los Angeles ( Silverlake ),K-8 [ 55 ]
