Year,Title,Role,Notes
2005-2006,Threshold,Brian Janklow,"Episodes : Blood of the Children , The Order The Crossing"
2005,Go Figure,Spencer,Disney Channel Original Movie
2006,The Suite Life of Zack & Cody,Kirk,Episode : Twins at the Tipton
2006,Cold Case,Doug Sommer,Episode : Saving Sammy
2007,CSI : Miami,Charlie Sheridan,Episode : Stand Your Ground
2008,Life,Tate McNeil,Episode : Not for Nothing
2009,CSI : NY,Kyle Sheridan,Episode : Rush to Judgement
2009,ER,Dylan,"Episode : A Long , Strange Trip"
"2009-2010 , 2019",Supernatural,Adam Milligan / Michael,"Episodes : Jump the Shark , Point of No Return , Swan Song , Our Father , Who Are n't in Heaven"
2011,Grey 's Anatomy,Tyler Moser,Episode : Poker Face
2019,Another Life,Sasha Harrison,Main role
