Spoofed Title,Actual Title,Writer,Artist,Issue,Date
Alias,Alien ( May 1979 ) ( Genre : Science fiction horror ),Dick DeBartolo,Mort Drucker,212,1954-04 January 1980
Moneyraker,Moonraker ( June 1979 ) ( Genre : Science fiction ),Stan Hart,"Harry North , Esq",213,1954-04 March 1980
Rockhead II,Rocky II ( June 1979 ) ( Genre : Sports drama ),Larry Siegel,Angelo Torres,213,1954-04 March 1980
The Calamityville Horror,The Amityville Horror ( July 1979 ) ( Genre : Supernatural horror ),Dick DeBartolo,Mort Drucker,214,1954-04 April 1980
The Corncorde - Airplot '79,The Concorde ... Airport '79 ( August 1979 ) ( Genre : Disaster film ),Dick DeBartolo,Mort Drucker,214,1954-04 April 1980
A Crock O ' ( Blip ! ) Now,Apocalypse Now ( August 1979 ) ( Genre : War film ),Larry Siegel,Mort Drucker,215,1954-04 June 1980
Star Blecch : The ( GACCK ! ) Motion Picture,Star Trek : The Motion Picture ( December 1979 ) ( Genre : Science fiction ),Dick DeBartolo,Mort Drucker,216,1954-04 July 1980
Crymore vs. Crymore,Kramer vs. Kramer ( December 1979 ) ( Genre : Drama ),Stan Hart,Mort Drucker,217,1954-04 September 1980
Being Not All There,Being There ( December 1979 ) ( Genre : Comedy-drama ),Larry Siegel,Mort Drucker,218,1954-04 October 1980
Throw Up the Academy,Up the Academy ( June 1980 ) ( Genre : Teen comedy ),Stan Hart,Angelo Torres,218,1954-04 October 1980
Gold Mining Daughter,Coal Miner 's Daughter ( March 1980 ) ( Genre : Biographical musical ),Arnie Kogen,Mort Drucker,219,1954-04 December 1980
Little Starlings,Little Darlings ( March 1980 ) ( Genre : Teen comedy-drama ),Arnie Kogen,Mort Drucker,219,1954-04 December 1980
The Empire Strikes Out,The Empire Strikes Back ( May 1980 ) ( Genre : Space opera ),Dick DeBartolo,Mort Drucker,220,1954-04 January 1981
The Shiner,The Shining ( May 1980 ) ( Genre : Psychological horror ),Larry Siegel,Angelo Torres,221,1954-04 March 1981
Undressed to Kill,Dressed to Kill ( July 1980 ) ( Genre : Crime thriller ),Arnie Kogen,Mort Drucker,222,1954-04 April 1981
Extraordinary People,Ordinary People ( September 1980 ) ( Genre : Drama ),Stan Hart,Angelo Torres,223,1954-04 June 1981
Raving Bully,Raging Bull ( December 1980 ) ( Genre : Sports drama ),Larry Siegel,Mort Drucker,224,1954-04 July 1981
Assaulted State,Altered States ( December 1980 ) ( Genre : Science fiction horror ),Dick DeBartolo,Angelo Torres,225,1954-04 September 1981
Flopeye,Popeye ( December 1980 ) ( Genre : Musical comedy ),Stan Hart,Mort Drucker,225,1954-04 September 1981
Superduperman II,Superman II ( December 1980 ) ( Genre : Superhero film ),Frank Jacobs,Mort Drucker,226,1954-04 October 1981
