Actor,Appearing as,Season,Episode
Moises Arias,Randall,2,Day Care
Cheryl Burke,Shannon,2,Loosely Ballroom
The Cheetah Girls,Themselves,3,Doin ' Time in Suite 2330
Chris Brown,Himself,3,Doin ' Time in Suite 2330
Miley Cyrus,Hannah Montana,2,That 's So Suite Life of Hannah Montana
Michael Clarke Duncan,Coach Little,3,Benchwarmers
Daniella Monet,Dana,3,Benchwarmers
Zac Efron,Trevor,2,Odd Couples
Selena Gomez,Gwen,2,A Midsummer 's Nightmare
Tony Hawk,Himself,3,Foiled Again
Mark Indelicato,Antonio,3,Lip Synchin ' in the Rain
Kathryn Joosten,Grandma Marilyn,2,Not So Suite 16
Victoria Justice,Rebecca,1,The Fairest of Them All
Nathan Kress,Jamie,2,Back in the Game
Meaghan Jette Martin,Stacey,3,Sleepover Suite
Jesse McCartney,Himself,1,Rock Star in the House
Daryl Mitchell,Daryl,2,Back in the Game
Tahj Mowry,Brandon,2,Scary Movie
Kathy Najimy,Principal Milletidge,3,First Day of High School
Kay Panabaker,Amber,3,First Day of High School
