Newspaper,State,Town,Year established
Le Courrier Français,California,Los Angeles,1920
Union Nouvelle,California,Los Angeles,
Le Petit Journal,California,San Francisco,
Le Combat,Illinois,Chicago,1889
Le Bulletin Officiel,Illinois,Chicago,1894
Le Petit Journal de Chicago,Illinois,Chicago,1904
Le Courrier de l'Ouest,Illinois,Chicago,1903
Le Courrier-Canadien,Illinois,Chicago,1904
L'Echo des Deux Mondes,Illinois,Chicago,1903
LAbeille de la Nouvelle-Orléans,Louisiana,New Orleans,1827-1923
La Guèpe,Louisiana,New Orleans,1910
Le Propagateur Catholique,Louisiana,New Orleans,1842
Courrier de la Louisiane,Louisiana,,1807-1860
Le Messager,Maine,Lewiston,1880
La Revue,Maine,Augusta,1911
Le Figaro,Maine,Biddeford,1895
La Justice de Biddeford,Maine,Biddeford,1911
Le Courrier du Maine,Maine,Lewiston,1906
Le Petit Journal,Maine,Lewiston,1911
Le Messager,Maine,Lewiston,1880-1966
